resource_name,assignment_ids
Resource 0,95;90;94;96;30;58;40
Resource 1,92;45;25;32;79;21
Resource 2,23;19;55;3;46;1
Resource 3,26;62;50;27;91;82
Resource 4,66;18;61;44;15;76
Resource 5,12;102;54;10;65;24
Resource 6,69;71;52;98;87;38
Resource 7,4;11;51;33;72;9
Resource 8,34;73;5;78;47;39
Resource 9,68;48;83;17;7;81
Resource 10,57;86;88;67;56;53
Resource 11,20;0;14;93;22;63
Resource 12,43;84;99;80;6;101
Resource 13,64;16;29;75;8;28
Resource 14,2;37;49;60;77;35
Resource 15,97;41;59;100;74;42
Resource 16,31;85;13;36;89;70
