resource_name,assignment_ids
Resource 0,118;178;25;37;152;91;34;121;160;9;183;161;13;145
Resource 1,7;107;120;43;12;127;113;1;32;77;132;55;111;66
Resource 2,84;68;72;36;140;159;85;92;134;71;31;162;108;42
Resource 3,50;15;103;67;47;185;116;39;33;93;139;130;4;38
Resource 4,87;3;146;58;45;26;172;173;69;51;169;86;94
Resource 5,164;165;88;97;49;155;166;74;126;177;18;153;174
Resource 6,29;64;2;141;179;131;112;144;81;5;63;151;182
Resource 7,79;104;101;123;16;75;52;181;167;180;56;35;147
Resource 8,117;44;171;41;125;106;80;137;23;136;128;176;157
Resource 9,142;95;119;168;8;83;143;54;6;154;184;90;22
Resource 10,175;133;40;115;138;170;46;10;158;100;82;105;11
Resource 11,129;163;60;53;19;89;96;70;124;0;57;17;48
Resource 12,114;76;20;21;24;61;102;156;28;62;110;59;122
Resource 13,109;99;150;149;30;78;14;65;98;73;148;27;135
