resource_name,assignment_ids
Resource 0,181;37;76;111;143;7;113;9;238;179;190;242;51;220;251;165;58
Resource 1,267;52;93;277;36;27;157;87;249;226;216;161;208;74;46;222;287
Resource 2,39;212;128;145;229;83;158;141;268;85;260;131;62;147;43;130;123
Resource 3,114;246;281;44;21;112;185;266;239;198;166;19;275;49;30;117;210
Resource 4,121;284;89;191;255;137;223;150;156;136;248;86;146;183;217;175;60
Resource 5,77;0;188;154;100;34;134;228;144;209;230;265;244;189;25;261;72
Resource 6,177;33;187;285;274;28;231;140;221;282;276;180;22;20;280;176;104
Resource 7,35;4;12;41;84;148;3;213;142;196;159;225;206;269;174;235;96
Resource 8,10;232;82;129;94;61;108;264;149;98;214;270;23;88;17;262;155
Resource 9,170;194;81;101;133;97;218;99;283;243;16;95;14;71;67;201;273
Resource 10,116;259;204;193;182;122;173;56;127;42;202;203;219;164;119;115;78
Resource 11,171;240;263;91;227;59;234;224;253;160;63;90;126;54;197;66;79
Resource 12,184;26;167;75;40;50;105;163;288;109;271;8;124;48;11;152;247
Resource 13,13;53;80;272;169;207;278;73;69;15;245;250;162;241;32;168;70
Resource 14,38;65;200;110;47;236;2;107;252;135;57;258;24;31;151;45;6
Resource 15,233;172;257;139;64;106;153;211;103;102;279;132;92;138;186;286;68
Resource 16,125;18;192;5;237;256;1;195;178;215;199;29;55;118;205;254;120
