resource_name,assignment_ids
Resource 0,10;65;147;118;47;81;41;28;8;114
Resource 1,38;23;152;139;88;36;154;57;60;33
Resource 2,4;44;34;105;53;91;74;95;141;73
Resource 3,58;61;133;108;30;42;145;86;51
Resource 4,149;140;96;112;135;90;128;148;127
Resource 5,3;117;69;40;32;54;134;59;120
Resource 6,26;106;52;49;45;16;9;0;125
Resource 7,39;22;7;76;102;21;144;67;84
Resource 8,87;79;126;93;78;37;131;130;68
Resource 9,137;20;2;48;129;46;17;43;136
Resource 10,5;1;56;97;103;151;14;115;75
Resource 11,15;89;146;62;66;6;119;27;111
Resource 12,150;122;77;82;72;94;92;143;104
Resource 13,113;98;138;116;132;12;83;110;142
Resource 14,55;70;64;25;121;19;124;101;85
Resource 15,11;107;71;18;100;31;109;13;80
Resource 16,99;63;35;153;29;24;123;50;155
