resource_name,assignment_ids
Resource 0,354;362;247;13;57;45;235;216;341;350;1;343;25;294;10;179;155;68;297;347;323;251;186;108;368;52;335;269
Resource 1,165;349;344;148;299;371;66;223;134;98;105;56;264;308;375;95;71;227;40;24;61;311;225;246;287;14;361;125
Resource 2,164;309;30;189;153;241;194;138;366;130;60;321;69;353;83;74;278;229;97;370;212;73;190;254;331;113;27;133
Resource 3,136;355;314;80;37;220;332;285;369;65;145;129;85;358;312;53;36;284;290;208;228;172;22;154;365;123;262;258
Resource 4,198;257;16;122;166;55;128;50;157;141;91;319;310;306;127;236;298;364;286;232;82;46;204;31;88;23;322
Resource 5,244;325;348;35;163;357;313;103;218;162;207;135;78;226;48;281;99;51;93;302;3;67;175;195;158;324;326
Resource 6,211;146;75;126;87;283;109;271;199;256;132;320;206;170;18;238;21;77;143;116;140;315;137;200;176;100;150
Resource 7,296;90;9;144;151;177;111;205;39;248;156;171;356;253;363;180;352;381;81;282;139;210;28;224;367;377;217
Resource 8,318;193;84;192;245;173;276;380;6;291;106;359;336;169;202;327;118;372;345;360;351;12;378;196;104;149;288
Resource 9,289;273;272;63;234;2;213;187;255;7;142;5;316;188;44;19;72;26;47;266;42;250;267;346;292;49;305
Resource 10,239;201;34;329;219;374;178;117;230;58;279;11;41;231;330;8;243;182;317;64;215;203;121;240;147;161;114
Resource 11,303;86;124;29;181;94;242;221;185;328;339;62;0;237;183;119;340;304;33;102;92;197;337;338;120;191;15
Resource 12,159;233;259;112;275;261;76;160;263;209;277;379;96;300;265;107;131;168;174;59;268;260;89;342;274;301;214
Resource 13,280;167;79;32;101;307;333;293;20;376;110;17;252;115;54;70;249;43;184;334;373;222;38;270;4;295;152
