resource_name,assignment_ids
Resource 0,80;41;78;31;126;10;55
Resource 1,67;49;3;76;35;42;4
Resource 2,118;57;6;96;107;59;11
Resource 3,93;124;29;123;128;85;34
Resource 4,77;100;131;54;86;117;99
Resource 5,119;60;73;83;105;89;0
Resource 6,46;17;23;69;14;122;32
Resource 7,103;111;95;13;44;114;58
Resource 8,2;24;18;68;37;120;115
Resource 9,63;130;7;47;9;16;61
Resource 10,87;20;82;5;104;112;65
Resource 11,84;51;21;53;12;97;113
Resource 12,50;88;30;92;71;108;27
Resource 13,64;15;129;45;66;40;102
Resource 14,38;62;98;125;36;25;94
Resource 15,8;43;52;121;19;101;1
Resource 16,26;75;127;48;56;91;110
Resource 17,74;33;70;81;22;106;109
Resource 18,132;90;79;39;116;72;28
