resource_name,assignment_ids
Resource 0,71;365;64;34;202;240;191;373;368;99;250;260;122;353;302;169;31;113;187;360;18;213;390
Resource 1,163;257;241;325;328;50;265;185;49;402;139;189;181;132;105;346;6;127;264;186;343;22;30
Resource 2,106;24;46;94;372;108;417;266;2;304;124;109;129;112;146;229;47;76;65;21;363;313;234
Resource 3,311;380;89;351;392;199;383;292;267;394;174;409;398;401;349;332;11;4;348;93;26;335;420
Resource 4,317;395;230;303;20;177;77;172;271;295;228;232;403;219;334;314;180;308;145;366;36;136;378
Resource 5,167;141;156;41;15;152;419;318;322;123;411;57;301;85;70;98;247;43;274;224;427;330;153
Resource 6,183;323;200;198;248;90;408;364;203;300;358;338;110;3;239;72;114;0;197;399;117;428;255
Resource 7,118;227;78;60;149;258;397;210;410;324;1;125;35;426;268;371;370;391;39;126;144;204;54
Resource 8,242;374;86;286;97;165;350;259;244;215;170;340;116;289;154;407;276;188;88;226;421;384;216
Resource 9,134;176;354;103;155;161;74;91;245;413;148;150;388;316;275;362;48;147;341;281;44;68;321
Resource 10,81;111;79;14;201;62;162;59;166;243;33;217;63;298;56;355;214;288;305;175;333;279;319
Resource 11,45;414;157;329;69;37;291;178;207;246;84;385;119;61;32;339;66;296;293;337;254;51
Resource 12,283;294;138;290;331;231;356;315;327;96;67;369;347;422;16;252;357;151;418;253;425;193
Resource 13,95;23;416;158;238;299;194;208;269;19;377;278;262;182;379;424;159;25;406;387;211;83
Resource 14,218;381;92;131;326;235;415;73;306;285;29;42;376;352;404;270;221;55;375;405;389;38
Resource 15,135;280;7;336;261;222;310;164;367;184;223;102;312;9;282;40;400;53;115;284;205;133
Resource 16,173;75;307;140;382;196;237;179;233;87;249;121;128;28;342;171;17;130;256;10;80;206
Resource 17,212;137;309;12;143;263;168;393;359;27;277;160;251;220;225;287;142;412;344;8;297;320
Resource 18,13;120;273;209;345;361;5;101;236;192;104;195;386;107;82;190;58;396;423;100;272;52
