resource_name,assignment_ids
Resource 0,50;43;29;51;22;11
Resource 1,19;27;3;60;97;45
Resource 2,86;55;87;58;41;111
Resource 3,38;78;72;105;100;52
Resource 4,96;28;85;107;101;94
Resource 5,35;1;47;53;79;36
Resource 6,89;102;6;20;32;76
Resource 7,82;66;62;92;57;33
Resource 8,73;24;80;15;70;64
Resource 9,54;18;42;71;13;21
Resource 10,67;12;10;4;65;25
Resource 11,44;31;77;63;103;88
Resource 12,7;69;0;99;23;26
Resource 13,39;95;14;2;61;104
Resource 14,49;93;91;59;17;56
Resource 15,109;68;9;5;40;16
Resource 16,83;74;46;34;48;90
Resource 17,75;84;110;106;37
Resource 18,8;98;108;81;30
