id,hours,start,duration
0,87,0,8
1,62,0,6
2,50,0,5
3,130,0,13
4,134,0,13
5,1039,0,103
6,141,0,14
7,141,0,14
8,52,14,5
9,225,0,22
10,50,0,5
11,144,0,14
12,347,0,34
13,327,14,32
14,70,0,7
15,154,0,15
16,58,8,5
17,283,0,28
18,786,0,78
19,277,0,27
20,315,0,31
21,50,0,5
22,125,0,12
23,524,0,52
24,114,0,11
25,83,11,8
26,53,11,5
27,68,0,6
28,73,0,7
29,59,0,5
30,104,0,10
31,1664,52,166
32,89,0,8
33,270,0,27
34,50,0,5
35,166,8,16
36,95,0,9
37,50,0,5
38,148,0,14
39,139,8,13
40,87,21,8
41,70,11,7
42,335,0,33
43,231,14,23
44,1167,0,116
45,51,116,5
46,64,0,6
47,460,0,46
48,308,10,30
49,58,40,5
50,55,45,5
51,145,45,14
52,55,40,5
53,212,45,21
54,147,52,14
55,66,66,6
56,85,72,8
57,231,80,23
58,497,0,49
59,50,121,5
60,83,126,8
61,294,66,29
62,81,95,8
63,134,103,13
64,83,103,8
65,60,116,6
66,529,122,52
67,60,72,6
68,50,116,5
69,88,121,8
70,50,8,5
71,498,0,49
72,307,121,30
73,232,151,23
74,50,80,5
75,1036,0,103
76,84,0,8
77,447,0,44
78,50,44,5
79,178,44,17
80,85,0,8
81,107,122,10
82,387,132,38
83,268,132,26
84,58,132,5
85,532,158,53
86,83,211,8
87,368,138,36
88,58,174,5
89,347,174,34
90,362,208,36
91,682,176,68
92,69,132,6
93,61,138,6
94,1255,138,125
95,50,132,5
96,52,132,5
97,62,0,6
98,50,174,5
99,385,0,38
100,54,244,5
101,169,132,16
102,689,148,68
103,65,115,6
104,342,121,34
105,219,155,21
106,51,155,5
107,205,170,20
108,105,121,10
109,189,155,18
110,109,173,10
111,141,183,14
112,50,46,5
113,50,51,5
114,186,115,18
115,73,121,7
116,569,121,56
117,182,177,18
118,139,195,13
119,205,177,20
120,403,115,40
121,57,115,5
122,142,155,14
123,286,169,28
124,513,115,51
125,437,166,43
126,53,155,5
127,241,137,24
128,123,161,12
129,720,161,72
130,50,179,5
131,407,184,40
132,111,161,11
133,256,172,25
134,79,177,7
135,50,197,5
136,627,183,62
137,97,161,9
138,575,115,57
139,267,190,26
140,55,172,5
141,54,177,5
142,53,233,5
143,72,238,7
144,55,233,5
145,59,233,5
146,269,238,26
147,51,238,5
148,447,264,44
149,390,238,39
150,541,238,54
151,72,292,7
152,51,292,5
153,147,297,14
154,126,287,12
155,73,297,7
156,76,299,7
157,152,306,15
158,64,306,6
159,215,306,21
160,219,271,21
161,395,292,39
162,51,271,5
163,68,276,6
164,85,282,8
165,131,299,13
166,286,278,28
167,51,306,5
168,312,311,31
169,300,311,30
170,55,95,5
171,143,100,14
172,1163,176,116
173,62,94,6
174,137,100,13
175,55,327,5
176,532,332,53
177,83,332,8
178,111,340,11
179,152,332,15
180,92,332,9
181,227,332,22
182,60,238,6
183,501,177,50
184,489,227,48
185,103,227,10
186,56,238,5
