predecessor_id,successor_id,type
0,59,1
8,23,1
8,24,1
1,28,1
1,53,1
2,24,1
2,44,1
50,99,1
50,73,1
50,60,1
36,37,1
36,73,1
36,93,3
63,93,0
45,81,1
92,93,1
3,97,3
3,79,3
4,33,1
87,91,3
51,53,1
51,52,1
78,86,3
78,81,3
25,28,1
25,27,1
5,54,3
5,43,1
5,71,1
6,99,1
6,101,1
79,80,0
88,97,1
62,63,1
62,67,1
62,64,1
62,66,1
41,66,1
7,8,3
64,77,1
64,65,3
9,58,1
74,75,3
10,43,1
70,100,1
11,15,3
19,24,3
30,67,1
30,83,1
30,65,1
89,90,1
12,42,3
33,86,1
33,68,1
13,64,1
71,91,0
26,80,1
26,68,1
69,70,3
69,73,1
69,71,1
14,59,3
14,81,1
91,94,3
91,92,1
91,95,1
91,99,1
15,42,0
34,35,1
16,31,0
16,61,1
47,85,1
47,49,1
17,81,1
43,57,1
43,86,1
43,44,1
37,89,1
52,56,1
68,85,1
68,69,1
44,80,3
44,45,1
54,91,1
54,59,1
54,55,1
18,19,1
31,45,1
31,33,1
31,32,1
31,34,1
31,48,1
85,88,1
53,54,1
53,90,3
56,97,3
35,77,1
35,36,0
20,94,1
21,42,3
28,29,1
28,31,1
28,30,3
57,58,1
22,66,0
22,44,1
23,38,1
23,43,1
81,96,3
46,47,1
46,81,1
67,72,1
67,68,1
24,26,0
24,25,1
73,100,1
73,84,1
73,74,3
96,97,1
96,98,1
40,41,1
40,44,3
39,40,1
42,46,1
42,67,1
42,65,1
42,79,0
42,43,3
76,82,1
76,83,1
95,96,1
77,78,0
77,79,1
86,88,1
86,89,1
86,87,1
48,66,1
82,91,1
83,85,1
83,86,1
83,84,1
100,101,0
49,51,1
49,80,1
49,50,3
49,57,1
61,62,1
61,76,3
