predecessor_id,successor_id,type
0,53,1
0,2,3
1,109,1
1,56,0
1,117,1
2,97,1
164,166,1
164,165,1
22,59,3
3,187,1
4,5,1
4,122,1
161,176,1
70,86,1
70,145,1
174,175,3
69,70,0
69,72,1
170,171,1
5,178,1
5,179,1
5,100,0
5,88,1
5,115,1
5,19,3
5,57,1
98,151,0
182,189,1
6,55,1
7,16,0
8,21,0
8,16,1
71,114,1
9,20,0
10,29,0
11,36,3
11,21,1
11,146,0
13,56,1
13,46,0
13,102,1
14,131,3
186,188,0
191,192,3
191,193,1
85,87,1
85,110,3
118,119,1
118,145,1
76,108,1
15,48,1
15,108,3
124,139,3
124,137,1
124,125,0
21,22,1
21,116,3
21,70,3
21,23,1
16,158,3
16,111,1
115,130,1
115,177,3
45,128,1
45,101,3
45,130,1
45,48,1
119,121,1
119,120,1
133,141,3
133,159,1
17,182,1
17,23,3
66,110,1
72,184,0
72,74,1
72,73,0
72,177,1
37,129,1
37,109,1
37,40,1
37,154,0
37,159,1
18,109,0
79,121,1
79,128,1
19,131,1
19,102,1
23,96,1
23,109,1
23,90,1
23,185,1
23,141,1
23,152,1
20,91,1
20,21,1
57,171,1
24,137,1
171,172,1
93,94,1
81,82,3
81,188,1
81,91,1
114,131,3
114,116,1
114,115,1
114,117,0
114,123,3
132,134,3
132,135,1
132,133,1
25,61,1
25,151,3
25,92,1
25,102,1
26,167,1
26,83,0
27,101,1
27,143,1
163,164,1
28,85,0
28,69,1
28,45,1
28,29,3
28,71,1
28,99,1
29,187,3
29,51,1
29,80,1
29,55,1
42,87,0
42,68,1
42,113,1
180,183,3
180,182,1
180,181,0
87,88,1
30,36,1
30,58,1
30,149,1
168,177,1
31,158,3
152,153,1
166,167,3
166,168,1
166,173,1
61,186,1
32,58,1
32,39,1
77,159,1
77,84,1
77,80,1
60,130,0
60,61,1
99,100,1
99,133,1
33,113,1
34,51,1
108,139,0
148,172,1
47,50,1
47,65,1
47,95,3
127,194,1
35,110,0
125,189,1
36,65,1
36,37,1
38,129,1
88,147,1
88,96,3
88,189,1
128,144,1
128,158,3
128,165,1
160,161,1
40,138,3
41,42,0
41,50,1
144,166,3
144,145,3
183,184,1
94,174,0
169,170,1
43,63,1
43,140,1
43,60,1
43,143,1
121,122,1
44,170,1
44,45,3
74,192,3
74,117,1
155,156,1
126,129,1
126,128,3
126,127,1
46,108,3
46,47,1
46,82,1
48,164,1
48,185,0
48,104,1
48,91,1
48,54,3
48,66,1
184,194,1
134,140,1
96,188,0
139,151,1
122,146,1
173,174,1
143,154,1
143,144,1
49,86,1
49,108,0
49,113,1
116,152,1
116,181,1
129,130,1
50,146,3
185,187,1
185,186,1
92,93,3
78,79,1
78,83,1
78,104,1
162,193,1
162,163,1
162,183,1
162,169,1
106,132,1
106,107,3
106,111,1
51,53,0
51,63,3
51,52,3
51,65,3
54,143,1
54,74,1
80,154,1
80,81,1
80,165,1
55,56,1
55,114,1
55,57,0
117,118,1
117,136,1
58,170,1
58,175,1
123,124,1
123,126,1
157,168,1
157,158,1
147,148,1
147,149,1
147,160,1
59,108,0
59,159,1
59,60,1
83,178,1
83,111,1
89,91,1
89,90,0
89,92,1
189,190,3
189,191,3
194,195,1
62,133,1
131,152,1
131,132,3
63,139,1
136,139,1
136,137,1
136,140,1
136,138,3
109,110,1
84,86,1
84,89,1
84,85,1
64,130,0
64,158,1
64,150,1
141,142,1
141,191,1
141,143,1
146,147,1
146,155,1
146,150,1
65,131,1
65,86,1
65,66,3
151,152,1
67,108,1
67,148,1
67,177,1
107,156,0
107,108,1
107,109,1
68,69,1
68,71,1
75,76,0
75,77,1
75,78,3
95,96,1
95,133,0
154,155,3
154,157,1
97,99,3
97,137,1
97,98,1
97,181,3
101,102,1
159,162,1
159,160,1
113,114,1
103,104,1
112,113,0
105,112,3
105,106,1
179,180,1
179,185,1
