resource_name,assignment_ids
Resource 0,12;111;156;96;34;179;5;150;14;207;71;41;229;64;44;169;74;204;118;194;196;216;155;266;54;79;189;269
Resource 1,18;112;82;119;117;60;47;199;245;161;153;152;51;108;268;197;241;277;4;141;135;272;240;180;124;78;162;45
Resource 2,249;25;238;122;218;19;151;95;227;99;17;24;186;185;192;212;183;87;166;59;63;2;77;90;120;208;125;257
Resource 3,254;106;239;271;235;123;107;138;28;55;177;145;131;128;10;27;205;264;30;110;187;73;175;228;58;237;242;109
Resource 4,244;129;173;188;40;136;200;134;32;56;251;1;184;193;221;209;163;92;39;273;256;85;267;167;222;261;81;137
Resource 5,253;7;114;94;53;132;231;29;275;203;195;104;148;46;43;243;223;11;210;170;98;62;232;113;263;215;172;6
Resource 6,160;255;103;147;206;13;20;217;220;182;144;230;142;176;149;214;164;76;201;211;9;276;35;93;146;33;258;48
Resource 7,101;248;115;236;233;168;171;246;219;22;66;140;133;250;89;0;259;116;70;130;260;154;84;165;97;3;139;121
Resource 8,38;181;127;174;270;213;126;190;16;102;37;61;72;23;262;75;42;52;49;247;86;191;80;157;158;159;143
Resource 9,15;265;225;226;57;36;274;100;252;178;224;50;198;91;105;8;83;21;202;26;68;69;88;67;234;65;31
