resource_name,assignment_ids
Resource 0,71;16;92;4;44;78
Resource 1,40;47;104;97;2;33
Resource 2,93;68;79;5;22;66
Resource 3,8;42;58;56;13;37
Resource 4,103;43;69;36;38;55
Resource 5,35;106;21;74;87;105
Resource 6,57;96;6;95;52;18
Resource 7,102;99;75;34;70;26
Resource 8,81;10;45;28;94;1
Resource 9,12;85;83;9;46;73
Resource 10,17;48;84;23;32;91
Resource 11,29;20;65;101;27;82
Resource 12,109;61;15;76;19;30
Resource 13,7;63;59;60;80;77
Resource 14,54;88;14;3;24;100
Resource 15,107;25;51;67;41
Resource 16,39;49;64;108;50
Resource 17,89;86;98;90;62
Resource 18,53;72;11;0;31
