resource_name,assignment_ids
Resource 0,125;163;70;79;11;94;117;137;175;44;100;147;12;162;131;10;135
Resource 1,164;121;39;2;58;133;122;74;143;30;24;22;158;92;48;105
Resource 2,154;108;61;161;109;32;140;119;59;5;8;151;38;96;173;7
Resource 3,152;62;104;136;3;55;126;18;83;89;166;107;98;99;134;115
Resource 4,45;110;146;72;57;112;114;43;128;37;42;144;138;63;87;34
Resource 5,169;50;17;9;41;13;123;97;129;176;86;130;28;33;46;155
Resource 6,91;51;0;35;139;141;111;67;29;14;170;76;106;113;65;172
Resource 7,150;47;132;102;168;156;153;159;165;145;16;26;75;167;52;124
Resource 8,77;127;25;60;31;88;148;54;85;116;40;6;103;174;36;93
Resource 9,4;80;64;81;49;66;118;82;78;120;21;15;19;71;23;95
Resource 10,73;68;69;53;101;84;171;27;1;142;149;56;20;160;157;90
