resource_name,assignment_ids
Resource 0,368;402;218;228;122;133;271;61;376;334;321;365;323;340;109;193;194;243;31;126;135;22;406;341;343;380
Resource 1,226;98;424;425;208;330;239;284;49;15;73;411;95;220;233;299;43;339;268;393;146;113;352;32;191
Resource 2,214;335;269;234;161;401;155;390;325;179;97;138;421;319;344;230;177;418;170;382;279;88;232;345;357
Resource 3,229;59;76;207;24;74;320;107;281;415;245;99;81;41;27;167;349;389;227;16;318;182;159;150;39
Resource 4,309;362;62;168;307;147;17;354;63;4;396;165;306;312;305;423;29;399;416;286;386;79;130;134;9
Resource 5,75;33;296;261;397;115;25;398;34;314;338;116;383;141;83;259;292;174;329;69;186;102;219;123;173
Resource 6,236;38;371;249;310;201;377;166;104;119;400;212;3;140;375;254;131;176;337;6;198;196;84;160;71
Resource 7,92;52;360;189;288;152;326;23;364;347;316;285;14;363;93;295;78;265;185;172;275;21;121;346;342
Resource 8,252;413;264;157;56;358;272;169;353;57;42;66;367;387;273;184;11;225;324;106;48;36;5;355;215
Resource 9,410;202;331;301;53;132;204;414;175;20;369;143;237;313;216;85;222;128;302;370;403;10;65;263;180
Resource 10,37;158;94;139;359;327;199;277;276;105;80;187;8;332;217;2;294;221;240;255;241;7;209;89;46
Resource 11,114;244;142;100;127;26;40;250;0;328;197;366;372;195;86;248;408;103;238;298;336;333;348;45;28
Resource 12,153;96;315;12;278;144;300;190;64;262;118;417;351;308;200;108;30;274;181;125;246;72;35;388;247
Resource 13,112;203;378;178;1;154;407;267;260;51;422;258;151;419;18;148;373;50;361;251;317;19;379;404;311
Resource 14,350;171;224;60;110;67;293;253;322;164;136;289;87;405;304;356;163;381;91;192;54;183;280;420;391
Resource 15,392;82;291;409;385;70;282;120;231;117;145;412;101;77;290;68;287;283;394;223;266;58;124;257;270
Resource 16,90;303;210;395;149;384;129;242;374;206;156;297;111;44;162;55;13;205;235;47;213;137;256;211;188
