id,hours,start,duration
0,237,0,23
1,512,0,51
2,50,0,5
3,113,5,11
4,213,0,21
5,214,0,21
6,147,0,14
7,95,14,9
8,648,0,64
9,101,0,10
10,65,0,6
11,340,0,34
12,360,0,36
13,79,0,7
14,55,0,5
15,120,0,12
16,617,0,61
17,59,0,5
18,53,0,5
19,207,0,20
20,374,0,37
21,306,0,30
22,289,0,28
23,137,0,13
24,77,0,7
25,664,0,66
26,454,0,45
27,134,0,13
28,430,10,43
29,50,0,5
30,60,0,6
31,307,13,30
32,312,0,31
33,53,6,5
34,124,11,12
35,147,0,14
36,860,0,86
37,277,0,27
38,73,0,7
39,85,16,8
40,260,11,26
41,51,11,5
42,118,0,11
43,61,15,6
44,50,21,5
45,100,26,10
46,238,26,23
47,201,49,20
48,265,15,26
49,194,36,19
50,414,0,41
51,50,0,5
52,191,0,19
53,66,0,6
54,56,5,5
55,267,0,26
56,70,0,7
57,98,43,9
58,203,14,20
59,78,0,7
60,240,5,24
61,261,3,26
62,56,29,5
63,82,34,8
64,142,42,14
65,336,56,33
66,50,0,5
67,50,31,5
68,52,31,5
69,115,36,11
70,87,0,8
71,83,20,8
72,55,28,5
73,532,11,53
74,211,34,21
75,53,34,5
76,403,8,40
77,859,55,85
78,206,140,20
79,77,64,7
80,58,39,5
81,92,44,9
82,158,37,15
83,745,52,74
84,55,126,5
85,420,48,42
86,153,90,15
87,136,90,13
88,778,103,77
89,344,90,34
90,310,124,31
91,264,129,26
92,141,141,14
93,327,155,32
94,729,105,72
95,73,177,7
96,61,177,6
97,50,184,5
98,265,189,26
99,50,189,5
100,50,189,5
101,118,194,11
102,295,155,29
103,430,28,43
104,237,48,23
105,128,103,12
106,86,115,8
107,69,48,6
108,86,54,8
109,140,62,14
110,259,52,25
111,121,77,12
112,93,80,9
113,55,71,5
114,115,62,11
115,52,184,5
116,915,0,91
117,54,91,5
118,1031,96,103
119,51,91,5
120,50,199,5
121,416,96,41
122,58,96,5
123,81,101,8
124,165,93,16
125,104,109,10
126,57,109,5
127,144,114,14
128,57,109,5
129,248,114,24
130,131,114,13
131,162,96,16
132,199,112,19
133,562,131,56
134,50,187,5
135,108,192,10
136,84,192,8
137,358,167,35
138,53,202,5
139,50,207,5
140,117,212,11
141,50,207,5
142,50,212,5
143,63,131,6
144,343,137,34
145,109,171,10
146,241,202,24
147,434,171,43
148,398,137,39
149,50,112,5
150,124,187,12
151,107,137,10
152,74,219,7
153,356,137,35
154,129,172,12
155,366,0,36
156,172,0,17
157,51,5,5
158,95,92,9
159,57,96,5
160,73,0,7
161,52,219,5
162,259,224,25
163,378,212,37
164,52,212,5
165,50,21,5
166,876,137,87
167,124,224,12
168,188,21,18
169,207,39,20
170,53,59,5
171,645,109,64
172,50,89,5
173,50,66,5
174,54,71,5
175,688,71,68
176,91,76,9
177,313,76,31
178,179,192,17
179,70,202,7
180,103,212,10
181,139,222,13
182,100,212,10
183,180,76,18
184,107,94,10
185,57,107,5
186,55,249,5
187,215,254,21
188,80,267,8
189,87,267,8
190,304,275,30
191,347,275,34
192,205,309,20
193,131,309,13
194,501,275,50
195,156,325,15
196,313,340,31
197,57,275,5
198,443,280,44
199,141,324,14
200,96,280,9
201,54,340,5
202,70,345,7
203,96,345,9
204,50,345,5
205,1196,345,119
206,238,464,23
207,104,464,10
208,57,275,5
209,114,311,11
210,50,187,5
211,100,371,10
212,66,381,6
213,210,192,21
214,50,381,5
215,394,381,39
216,152,420,15
217,51,420,5
218,51,425,5
219,327,425,32
220,269,420,26
221,645,420,64
222,51,381,5
223,130,34,13
224,61,47,6
225,101,171,10
226,78,224,7
227,141,231,14
228,50,47,5
229,550,57,55
230,69,187,6
231,296,112,29
232,239,219,23
233,121,231,12
234,58,243,5
235,464,245,46
236,207,181,20
237,514,275,51
238,66,326,6
239,274,381,27
240,150,201,15
241,177,216,17
242,115,233,11
243,612,183,61
244,181,267,18
245,305,233,30
246,67,263,6
247,76,263,7
248,68,231,6
