id,hours,start,duration
0,98,0,9
1,458,0,45
2,132,0,13
3,113,13,11
4,143,0,14
5,64,0,6
6,121,0,12
7,110,0,11
8,95,0,9
9,51,0,5
10,937,0,93
11,50,0,5
12,118,0,11
13,50,0,5
14,131,0,13
15,104,3,10
16,974,0,97
17,60,0,6
18,182,0,18
19,78,0,7
20,107,0,10
21,160,0,16
22,114,0,11
23,332,13,33
24,252,0,25
25,68,0,6
26,68,0,6
27,56,0,5
28,95,0,9
29,82,0,8
30,309,0,30
31,250,0,25
32,663,13,66
33,235,0,23
34,116,0,11
35,51,0,5
36,140,0,14
37,116,0,11
38,57,5,5
39,75,0,7
40,363,0,36
41,144,7,14
42,406,25,40
43,315,0,31
44,56,0,5
45,52,0,5
46,223,0,22
47,57,25,5
48,152,0,15
49,55,0,5
50,170,0,17
51,623,6,62
52,265,0,26
53,100,26,10
54,54,0,5
55,72,9,7
56,56,0,5
57,50,0,5
58,228,22,22
59,113,0,11
60,63,0,6
61,112,0,11
62,95,0,9
63,50,0,5
64,1150,0,115
65,59,0,5
66,109,7,10
67,71,0,7
68,76,0,7
69,54,7,5
70,1095,31,109
71,226,0,22
72,87,0,8
73,75,0,7
74,573,17,57
75,60,0,6
76,52,6,5
77,70,0,7
78,69,0,6
79,475,0,47
80,52,0,5
81,610,0,61
82,392,0,39
83,118,0,11
84,61,0,6
85,280,6,28
86,566,34,56
87,168,0,16
88,180,16,18
89,212,0,21
90,84,21,8
91,189,21,18
92,50,0,5
93,96,0,9
94,484,9,48
95,54,0,5
96,243,0,24
97,174,0,17
98,50,17,5
99,54,22,5
100,103,0,10
101,202,11,20
102,67,0,6
103,69,0,6
104,104,29,10
105,946,0,94
106,298,21,29
107,877,50,87
108,217,5,21
109,51,30,5
110,127,35,12
111,121,50,12
112,313,62,31
113,217,6,21
114,284,6,28
115,464,34,46
116,51,80,5
117,102,61,10
118,599,97,59
119,135,156,13
120,67,0,6
121,111,0,11
122,118,90,11
123,721,0,72
124,90,72,9
125,245,72,24
126,208,96,20
127,136,83,13
128,97,96,9
129,102,105,10
130,138,0,13
131,61,13,6
132,118,68,11
133,56,79,5
134,50,6,5
135,1248,17,124
136,204,141,20
137,348,25,34
138,70,45,7
139,66,45,6
140,542,52,54
141,90,52,9
142,232,21,23
143,146,156,14
144,180,170,18
145,340,170,34
146,145,204,14
147,289,156,28
148,51,184,5
149,52,184,5
150,283,189,28
151,111,189,11
152,378,189,37
153,145,226,14
154,273,184,27
155,316,240,31
156,75,0,7
157,133,169,13
158,97,8,9
159,97,17,9
160,72,35,7
161,85,0,8
162,134,79,13
163,489,0,48
164,101,48,10
165,440,58,44
166,80,11,8
167,75,23,7
168,64,30,6
169,58,25,5
170,142,36,14
171,202,61,20
172,636,81,63
173,70,72,7
174,172,0,17
175,164,1,16
176,148,11,14
177,141,17,14
178,339,19,33
179,54,52,5
180,235,57,23
181,77,80,7
182,78,93,7
183,510,100,51
184,62,100,6
185,50,106,5
186,420,111,42
187,53,100,5
188,139,93,13
189,233,106,23
190,172,129,17
191,140,129,14
192,321,129,32
193,50,106,5
194,52,106,5
195,983,129,98
196,369,146,36
197,282,93,28
198,145,121,14
199,159,182,15
200,455,106,45
201,523,59,52
202,477,151,47
203,97,198,9
204,134,204,13
205,651,217,65
206,706,282,70
207,346,282,34
208,50,316,5
209,92,282,9
210,174,321,17
211,117,106,11
212,79,111,7
213,59,93,5
214,366,98,36
215,55,134,5
216,490,321,49
217,107,370,10
218,69,370,6
219,215,370,21
220,56,376,5
221,54,16,5
222,64,15,6
223,57,381,5
224,234,386,23
225,131,116,13
226,50,129,5
227,57,338,5
228,50,343,5
229,57,343,5
230,50,343,5
231,173,343,17
232,56,355,5
233,1087,343,108
234,410,348,41
235,139,451,13
236,287,348,28
237,162,360,16
238,120,343,12
239,72,343,7
240,56,360,5
241,50,365,5
242,129,360,12
243,56,372,5
244,155,338,15
245,103,365,10
246,127,451,12
247,240,360,24
248,58,137,5
249,638,142,63
250,213,146,21
251,84,167,8
252,130,291,13
253,196,304,19
254,53,29,5
255,563,106,56
256,297,200,29
257,55,348,5
258,357,229,35
259,99,229,9
260,50,348,5
261,120,353,12
262,76,0,7
263,287,7,28
264,128,348,12
265,462,360,46
266,81,0,8
267,56,464,5
268,456,464,45
269,50,509,5
270,91,10,9
271,100,170,10
272,84,153,8
273,138,121,13
274,101,86,10
275,76,137,7
276,282,81,28
277,525,24,52
278,64,70,6
279,92,67,9
280,53,6,5
281,231,11,23
282,58,11,5
283,189,376,18
284,55,389,5
285,55,72,5
286,50,394,5
287,118,87,11
288,364,98,36
289,747,509,74
290,57,182,5
291,573,451,57
292,249,182,24
293,127,206,12
294,509,218,50
295,383,182,38
296,58,220,5
297,64,220,6
298,74,321,7
299,60,376,6
300,105,382,10
301,137,220,13
302,50,233,5
303,357,376,35
304,139,398,13
305,220,389,22
306,291,411,29
307,86,440,8
308,88,411,8
309,55,440,5
310,150,240,15
311,68,102,6
312,51,108,5
313,100,194,10
314,248,583,24
315,199,204,19
316,428,204,42
317,332,394,33
318,74,246,7
319,252,246,25
320,179,348,17
321,51,266,5
322,69,509,6
323,119,271,11
324,61,282,6
325,78,343,7
326,285,254,28
327,70,271,7
328,84,509,8
329,67,94,6
330,56,100,5
331,121,105,12
332,226,106,22
333,52,128,5
334,156,117,15
335,62,515,6
336,80,97,8
337,53,348,5
338,84,353,8
339,82,361,8
340,174,361,17
341,226,352,22
342,244,374,24
343,71,398,7
344,218,361,21
345,153,205,15
346,319,360,31
347,220,515,22
348,374,537,37
349,50,574,5
350,75,537,7
351,82,544,8
352,58,129,5
353,121,238,12
354,93,376,9
355,97,238,9
356,54,238,5
357,75,243,7
358,159,389,15
359,118,189,11
360,249,176,24
361,71,35,7
362,197,324,19
363,71,382,7
364,67,389,6
365,1150,389,115
366,55,170,5
