resource_name,assignment_ids
Resource 0,268;185;34;244;210;61;179;221;237;340;39;105;81;246;291;47;158;52;20;107;194
Resource 1,68;110;98;65;40;217;311;296;49;27;118;273;53;200;327;15;28;302;208;126;128
Resource 2,25;95;5;157;308;0;122;249;254;67;312;19;12;35;54;181;123;99;76;11
Resource 3,235;163;245;288;127;104;29;300;124;259;167;143;161;60;109;156;299;18;89;183
Resource 4,193;130;338;108;195;187;142;211;86;145;228;44;125;248;337;64;289;321;270;85
Resource 5,271;153;133;232;55;196;170;318;45;290;33;26;298;284;317;92;188;307;277;266
Resource 6,265;314;115;247;75;169;166;13;94;269;119;197;71;198;191;69;1;62;120;138
Resource 7,136;190;236;225;2;24;222;140;205;234;272;238;80;309;176;216;227;96;70;31
Resource 8,251;137;260;276;139;281;56;252;328;82;50;341;113;172;9;192;325;255;285;177
Resource 9,90;323;171;219;335;6;36;263;79;287;220;250;146;324;117;297;206;58;233;182
Resource 10,152;87;215;164;223;48;132;131;304;37;310;7;261;10;141;43;129;326;241;22
Resource 11,4;214;173;17;283;38;274;301;212;46;226;305;229;204;144;114;16;294;66;135
Resource 12,32;329;303;306;239;14;293;168;231;243;106;111;199;218;8;230;186;209;165;101
Resource 13,160;97;316;202;147;112;42;121;159;339;73;257;162;240;3;72;262;275;148;21
Resource 14,150;93;57;322;189;295;175;74;30;134;292;279;336;77;253;149;267;213;330;264
Resource 15,282;332;174;83;91;78;100;320;178;331;41;63;242;280;207;334;180;84;59;224
Resource 16,154;333;278;151;201;88;155;102;116;313;258;23;256;203;51;315;319;103;184;286
