resource_name,assignment_ids
Resource 0,164;455;211;486;126;214;200;79;86;341;80;112;39;354;181;470;152;485;169;311;5;121;284;174;232;431;438
Resource 1,173;337;247;131;145;471;113;487;32;172;484;295;187;430;488;21;132;118;136;348;111;299;401;459;456;276;87
Resource 2,74;287;397;76;50;205;328;372;371;427;120;481;8;272;497;262;108;302;105;51;460;406;422;29;415;390;382
Resource 3,229;408;57;489;176;60;183;476;156;344;192;117;81;370;400;47;94;185;462;251;209;437;403;225;72;123;314
Resource 4,260;62;24;165;138;395;53;349;134;182;294;208;248;216;432;14;435;424;233;342;313;454;7;146;43;84;197
Resource 5,258;99;317;458;160;494;347;241;463;425;301;11;356;323;201;274;446;128;52;300;223;157;48;168;404;115
Resource 6,490;70;3;106;238;469;124;266;159;426;374;355;27;253;189;298;202;161;0;188;190;280;28;429;271;222
Resource 7,143;46;122;289;411;444;360;102;329;206;243;278;358;33;100;135;234;357;384;477;41;130;199;331;439;82
Resource 8,433;236;376;351;230;327;58;453;412;336;119;166;10;37;434;36;65;334;252;498;261;186;212;332;464;162
Resource 9,204;465;150;483;178;148;307;114;365;288;210;104;198;220;125;19;479;320;54;149;141;473;245;71;447;325
Resource 10,330;226;25;405;472;352;55;440;20;281;308;392;443;291;340;322;158;49;194;44;2;286;303;242;450;255
Resource 11,346;389;221;6;310;129;97;167;391;417;396;312;350;175;364;140;496;180;195;38;423;362;231;292;449;133
Resource 12,227;402;290;244;285;144;385;96;109;318;22;375;380;12;421;378;363;228;30;452;101;293;270;89;366;478
Resource 13,110;137;184;18;399;414;383;495;304;83;377;13;343;42;418;409;367;492;66;259;23;475;393;250;147;379
Resource 14,85;31;416;246;196;224;203;240;369;368;67;268;63;254;56;78;296;467;442;451;457;239;345;207;93;256
Resource 15,419;338;61;151;441;45;387;326;321;263;191;466;64;297;316;249;26;333;237;16;77;73;491;448;17;235
Resource 16,88;90;218;394;35;359;171;482;1;107;92;34;219;69;410;142;468;91;277;319;361;213;436;98;265;461
Resource 17,264;339;155;59;9;474;480;103;267;388;493;309;398;269;445;273;40;306;335;257;305;170;95;324;353;420
Resource 18,407;4;179;283;154;386;381;153;116;163;127;193;279;68;315;282;373;413;217;428;215;275;75;139;15;177
