resource_name,assignment_ids
Resource 0,273;307;18;289;205;308;180;123;57;94;190;318;235;198;61;70;238;2;178;342
Resource 1,90;321;243;266;113;17;76;116;177;93;209;341;319;82;25;10;338;27;250;160
Resource 2,224;168;348;62;138;325;233;118;219;317;151;316;258;170;299;213;187;340;54;155
Resource 3,269;286;144;146;309;298;148;109;165;231;35;335;163;254;110;322;41;239;279;34
Resource 4,255;3;38;16;167;40;150;97;262;46;172;202;86;80;134;88;311;71;227;20
Resource 5,152;206;186;217;294;107;66;47;95;271;69;132;179;55;216;346;249;270;337;149
Resource 6,19;6;102;304;300;297;24;72;182;323;207;161;212;68;44;22;96;349;53;200
Resource 7,229;222;28;352;220;89;81;106;215;237;303;275;334;201;301;257;234;60;282;353
Resource 8,8;121;350;332;236;285;252;267;137;73;330;39;103;0;181;143;306;99;347;295
Resource 9,199;204;36;21;193;290;211;185;264;173;196;183;268;203;48;232;305;314;124;351
Resource 10,226;64;260;171;278;230;228;245;277;23;115;158;131;101;117;59;92;210;164;108
Resource 11,261;37;157;176;192;133;274;292;139;30;49;336;214;58;284;145;14;45;63;248
Resource 12,128;159;296;331;111;287;100;197;195;127;247;242;345;43;51;208;74;333;175
Resource 13,153;84;154;162;136;7;65;142;174;156;244;12;125;140;77;5;223;112;52
Resource 14,241;120;283;147;263;184;324;87;98;78;320;56;246;343;9;240;272;29;166
Resource 15,50;313;326;75;265;32;339;327;67;1;119;256;83;221;276;31;281;105;11
Resource 16,302;328;85;291;169;79;33;293;4;129;253;251;218;91;15;312;344;126;225
Resource 17,259;188;42;122;310;130;315;135;288;191;104;141;329;13;26;194;114;280;189
