resource_name,assignment_ids
Resource 0,74;183;29;303;198;48;47;166;249;4;227;212;87;121;139;178;19;131;207;192;194;352;65;52;156;3;313;224;237;51;234
Resource 1,328;17;323;199;125;15;262;150;244;141;36;278;111;299;236;285;90;364;136;337;115;30;23;173;295;353;171;351;287;68;102
Resource 2,288;257;59;148;263;331;232;157;286;349;251;32;165;265;34;61;57;298;203;174;276;294;129;230;283;320;206;222;216;112;105
Resource 3,291;27;191;97;330;219;340;127;361;344;324;214;44;54;302;281;319;98;321;335;336;225;108;241;362;93;9;365;310;360;67
Resource 4,233;339;109;100;133;162;354;258;152;307;317;11;252;138;270;26;151;75;134;64;123;211;117;231;95;130;187;113;45;254;196
Resource 5,96;247;85;37;126;268;272;355;153;55;135;6;217;200;94;348;275;167;159;210;356;327;184;77;35;89;158;140;235;182;289
Resource 6,261;175;124;312;43;172;284;63;208;154;333;168;12;84;282;46;345;80;13;350;218;308;296;1;209;147;40;120;22;33;21
Resource 7,24;73;128;256;229;334;58;343;116;195;79;103;273;369;322;363;110;104;56;10;180;315;301;367;332;101;338;368;197;357;149
Resource 8,143;239;305;88;60;169;8;137;106;240;170;370;342;160;329;280;41;366;81;242;155;226;114;248;260;50;144;267;243;250;311
Resource 9,132;309;185;358;341;277;293;142;76;49;181;14;297;118;271;193;204;221;318;274;69;304;119;28;5;325;83;82;213;62;269
Resource 10,255;190;7;316;202;205;2;253;92;314;71;266;18;70;38;39;246;176;122;238;371;259;31;347;359;220;292;25;179;201;215
Resource 11,245;163;99;164;264;290;86;66;53;91;0;346;186;16;306;223;161;177;42;146;107;145;279;228;326;72;78;188;300;20;189
