resource_name,assignment_ids
Resource 0,131;2;49;35;105;92;196;171;215;53;0;114;59;217;201;36;7;46;232;248;183;43;172
Resource 1,110;149;90;185;57;5;253;144;31;117;135;137;142;210;133;208;163;229;140;50;15;246;56
Resource 2,193;189;87;181;77;195;68;260;125;247;118;121;13;272;160;243;14;168;255;274;191;71;72
Resource 3,270;269;78;259;8;80;145;187;22;9;128;250;204;61;173;109;190;3;70;82;265;62;147
Resource 4,25;91;200;205;222;113;42;275;216;86;251;155;261;152;242;48;52;63;76;96;34;252;240
Resource 5,202;177;108;157;126;143;197;273;127;27;6;98;148;60;45;167;154;256;151;112;227;211;73
Resource 6,213;18;136;130;66;150;268;175;104;219;230;207;16;249;174;38;241;122;184;231;264;30;93
Resource 7,228;44;170;111;199;218;107;17;141;132;239;165;244;258;209;224;134;51;236;139;64;120;221
Resource 8,124;182;156;194;116;10;11;203;198;79;267;47;106;169;235;54;220;83;158;186;263;225;223
Resource 9,102;178;85;101;257;21;271;1;97;19;214;188;226;99;179;29;262;161;89;67;166;58;12
Resource 10,65;212;153;40;266;41;88;94;233;238;103;254;206;245;37;180;115;33;123;237;95;24;129
Resource 11,69;100;234;75;55;4;74;28;26;146;20;84;39;162;81;23;138;164;159;119;176;32;192
