resource_name,assignment_ids
Resource 0,208;104;422;153;190;158;322;136;414;243;92;61;412;421;212;301;400;368;354;49;389;440;480;163;285;156;73;18;271;323;1;67;117;443;42;472;292;4
Resource 1,272;23;114;452;392;30;361;140;55;213;311;463;326;149;188;269;299;95;54;290;395;261;15;97;372;93;384;267;394;448;192;466;183;371;432;388;199
Resource 2,473;180;333;77;377;98;273;456;468;345;10;130;360;330;39;78;27;79;12;335;278;381;300;90;20;324;91;364;344;386;143;186;63;467;124;96;447
Resource 3,195;111;216;43;142;88;365;21;106;241;227;370;274;94;434;418;165;264;87;211;317;44;431;449;26;99;89;352;444;110;314;206;430;51;141;118;413
Resource 4,80;48;201;246;436;454;225;52;373;336;374;102;196;71;194;340;177;5;232;150;24;25;85;62;144;283;68;248;295;256;378;252;358;11;353;429;385
Resource 5,405;315;139;348;161;221;313;281;121;47;189;29;116;356;266;428;193;478;234;327;31;265;287;382;239;328;481;223;174;415;479;442;409;145;6;235;458
Resource 6,103;308;105;36;350;101;461;470;197;132;66;424;187;410;427;433;172;455;318;81;391;451;407;202;396;59;477;226;390;224;453;86;204;22;275;411;176
Resource 7,291;82;16;69;113;155;279;277;33;166;191;320;58;450;134;178;303;307;476;173;469;445;403;53;306;242;57;179;286;146;250;34;349;170;471;203;426
Resource 8,375;338;310;282;237;406;238;152;129;240;228;245;339;247;56;309;210;401;35;154;76;8;359;14;296;419;347;293;397;369;438;133;423;399;181;198;46
Resource 9,459;84;127;462;7;416;222;254;74;220;125;244;13;316;334;231;258;387;37;38;305;249;83;457;379;175;420;236;75;65;41;17;398;217;297;167;343
Resource 10,351;417;298;162;435;122;332;120;72;218;171;50;70;262;437;329;276;337;230;2;319;408;185;325;126;355;460;259;45;157;284;366;28;147;446;109;257
Resource 11,164;260;128;108;32;148;209;119;135;465;439;376;263;151;0;9;182;380;255;60;280;346;253;115;107;294;233;123;64;363;184;112;404;168;304;357;159
Resource 12,131;362;441;302;100;341;219;367;160;40;215;321;270;402;425;169;3;475;205;137;251;288;289;474;138;331;207;393;312;464;268;229;342;383;214;200;19
