resource_name,assignment_ids
Resource 0,180;129;340;363;400;141;222;338;144;63;388;314;360;330;17;179;106;317;396;87;83;263;346;369;251;133
Resource 1,262;168;69;178;236;86;398;273;359;394;386;195;36;187;374;88;287;89;159;60;26;239;166;193;93;184
Resource 2,44;300;38;43;202;265;345;302;175;291;367;354;375;397;257;81;311;373;49;105;254;98;389;34;364
Resource 3,319;25;108;376;349;213;58;3;117;177;307;194;155;165;35;124;79;266;153;210;289;62;327;1;125
Resource 4,232;264;99;277;399;75;96;341;326;231;189;290;267;70;68;357;275;30;249;385;123;269;395;138;343
Resource 5,206;279;201;181;71;252;73;111;393;16;212;288;353;240;61;101;356;199;167;42;64;56;18;241;351
Resource 6,253;78;146;115;355;272;4;361;164;47;301;172;295;120;261;390;173;6;234;208;152;145;2;335;298
Resource 7,59;204;207;110;28;46;5;342;247;143;328;221;274;331;304;94;118;282;149;157;293;74;72;321;211
Resource 8,156;316;276;219;220;53;371;21;126;139;23;233;91;365;29;82;132;148;310;107;336;383;318;216;226
Resource 9,8;292;227;228;134;378;256;377;278;352;285;320;392;191;255;171;31;160;92;24;308;332;242;230;76
Resource 10,325;140;121;350;163;154;54;182;368;39;224;215;203;12;84;127;85;185;176;281;283;161;246;90;55
Resource 11,22;51;48;270;41;243;362;381;306;20;67;14;40;147;196;401;57;114;271;238;370;244;384;286;192
Resource 12,100;103;13;296;188;309;223;339;324;190;380;66;217;284;297;214;209;258;131;245;169;45;33;322;280
Resource 13,218;9;119;80;237;136;313;95;333;294;122;347;312;344;248;235;162;323;137;11;198;150;268;104;200
Resource 14,372;229;158;32;205;250;387;366;337;116;186;77;225;382;15;52;130;260;391;348;102;37;305;7;329
Resource 15,112;128;0;65;50;10;170;334;303;135;109;315;113;379;259;299;97;27;358;142;151;183;174;197;19
