resource_name,assignment_ids
Resource 0,215;134;379;192;65;328;235;16;82;30;33;56;197;279;252;2;357;96;68;354;283;320;18;250;262;321
Resource 1,307;79;305;261;92;234;285;362;316;116;44;194;212;70;66;311;306;171;50;280;74;259;167;177;26;254
Resource 2,202;174;214;117;38;201;327;325;0;159;93;129;334;236;241;190;244;207;330;323;111;182;20;141;238;42
Resource 3,61;281;347;263;179;220;67;163;295;21;140;106;349;240;97;218;253;315;15;230;304;173;369;29;318;102
Resource 4,267;145;22;55;358;69;154;143;211;89;3;293;94;185;229;336;373;239;205;71;40;296;322;331;287;124
Resource 5,224;248;41;246;271;355;136;25;277;180;195;166;139;381;299;170;24;204;223;104;14;76;337;258;35;157
Resource 6,284;345;19;39;23;356;350;247;151;57;344;298;219;59;5;228;237;260;169;122;72;175;276;188;31;249
Resource 7,126;351;132;348;199;216;17;6;208;210;222;91;383;326;273;162;324;291;88;200;75;115;245;191;103;37
Resource 8,329;11;153;155;27;368;346;286;297;209;9;131;34;100;335;302;1;275;45;231;313;81;160;161;99;148
Resource 9,303;266;353;62;156;120;319;233;125;370;53;121;189;270;377;149;32;138;206;144;338;317;86;294;264
Resource 10,118;256;28;376;105;301;51;10;36;289;378;184;333;225;226;112;380;274;107;255;309;360;119;127;43
Resource 11,312;308;340;8;12;363;73;343;49;371;64;176;77;4;372;84;292;158;90;123;52;359;365;181;110
Resource 12,221;288;137;193;251;310;213;342;46;83;203;282;367;183;147;217;48;130;95;87;60;364;113;341;168
Resource 13,54;352;150;58;85;172;268;146;290;108;243;47;366;265;375;187;278;232;361;272;339;80;196;7;128
Resource 14,300;242;269;178;133;332;101;135;63;314;165;374;164;186;198;98;382;109;114;257;152;227;142;78;13
