resource_name,assignment_ids
Resource 0,173;80;189;127;38;186;26;74;103;107;86;71;85;65;150
Resource 1,132;110;126;3;66;156;0;28;99;196;19;133;2;143;122
Resource 2,25;60;97;158;93;112;58;61;53;115;100;145;73;69;64
Resource 3,138;131;23;176;151;41;192;104;4;191;9;179;193;155
Resource 4,135;81;121;14;178;44;148;168;162;149;180;198;139;109
Resource 5,123;141;57;125;113;170;105;108;154;18;48;190;140;78
Resource 6,181;63;68;7;32;111;89;130;90;77;167;42;56;101
Resource 7,13;84;79;120;195;59;43;114;1;49;29;117;157;136
Resource 8,153;177;159;27;39;55;194;142;70;92;134;174;161;54
Resource 9,47;164;16;20;187;67;45;34;146;172;95;188;182;197
Resource 10,137;96;119;36;169;11;75;76;152;46;118;15;165;35
Resource 11,30;24;50;171;17;40;6;128;106;8;124;5;98;116
Resource 12,82;147;166;22;185;12;160;21;94;163;72;62;51;52
Resource 13,129;87;31;83;175;183;102;144;37;88;33;184;91;10
