resource_name,assignment_ids
Resource 0,130;90;26;102;144;185;76;206;10;211;0;168;218;97;170;250;137;91;9;208;207
Resource 1,187;36;178;100;93;55;32;14;7;66;52;58;98;126;223;92;118;31;5;15;236
Resource 2,79;222;228;101;195;192;112;119;39;225;233;60;11;154;183;63;215;65;78;193;164
Resource 3,4;174;80;153;134;234;142;50;110;18;237;141;214;246;171;182;165;161;162;104;108
Resource 4,191;17;33;1;89;172;84;61;176;247;156;210;121;47;150;179;203;103;245;125;231
Resource 5,227;204;116;44;62;158;166;197;173;243;87;19;77;140;73;111;29;114;122;205;95
Resource 6,186;239;106;42;238;67;180;51;244;229;83;189;54;163;48;20;23;68;28;248;138
Resource 7,40;167;57;46;3;115;13;2;148;45;41;81;181;139;159;157;64;117;8;71;133
Resource 8,25;177;201;113;136;74;75;235;220;35;145;226;86;240;105;38;198;232;24;69;6
Resource 9,16;124;70;143;151;82;175;94;184;221;146;127;147;59;188;88;43;131;224;12;149
Resource 10,99;155;34;107;37;123;49;230;196;199;190;132;128;216;109;169;212;160;120;219;217
Resource 11,53;21;129;194;202;85;96;249;152;56;241;209;22;27;135;30;213;200;242;72
