resource_name,assignment_ids
Resource 0,359;324;90;134;95;331;58;391;347;156;189;56;320;310;284;210;181;162;168;104;293;401;395;87;321;362;264;46;121;392
Resource 1,38;406;120;345;94;67;7;325;377;263;35;32;60;64;353;346;405;240;34;122;297;291;51;294;246;118;2;37;80;327
Resource 2,408;146;161;330;69;258;360;305;236;334;131;379;307;205;114;382;226;295;101;148;361;374;88;316;11;250;207;270;301;248
Resource 3,318;409;388;66;137;366;190;36;173;309;332;142;117;328;203;224;97;47;354;138;155;407;82;257;91;29;20;119;338;372
Resource 4,231;3;232;287;111;163;292;43;144;402;169;176;160;23;187;397;167;6;273;76;22;31;191;342;106;50;197;215;326
Resource 5,18;367;352;139;322;368;159;312;92;174;233;349;71;383;370;27;271;172;133;5;81;49;219;193;86;182;286;45;192
Resource 6,28;183;112;268;278;102;53;72;9;222;218;230;113;290;317;103;16;199;259;329;228;59;164;124;241;300;251;261;107
Resource 7,166;254;333;200;389;386;356;223;208;57;403;365;282;296;198;393;255;387;276;234;54;180;4;244;17;123;0;128;350
Resource 8,400;371;21;341;363;77;313;306;110;151;357;274;217;165;108;243;212;177;315;220;149;298;115;385;188;84;267;245;253
Resource 9,225;319;55;384;355;277;48;140;41;178;129;214;126;85;204;390;265;26;238;343;304;73;99;336;237;378;303;394;25
Resource 10,136;68;33;63;269;256;8;184;179;19;78;335;100;157;340;376;109;145;14;351;152;381;153;398;44;143;211;70;61
Resource 11,373;285;262;93;116;83;275;127;239;154;380;369;308;96;89;289;79;209;147;150;13;227;202;141;404;280;135;194;266
Resource 12,283;221;10;186;216;339;12;171;323;30;348;396;42;314;132;1;65;364;375;185;195;344;302;235;279;249;24;213;281
Resource 13,337;98;158;288;196;206;105;15;39;125;247;52;130;170;299;229;272;40;358;75;399;242;260;252;175;74;201;62;311
