resource_name,assignment_ids
Resource 0,262;60;33;163;252;16;148;115;143;186;34;183;128;11;172;227
Resource 1,93;265;35;238;98;260;117;0;12;95;155;105;101;114;111;229
Resource 2,254;113;140;212;211;85;258;166;54;167;44;40;61;250;106;47
Resource 3,209;19;62;223;30;241;197;100;133;245;195;220;63;177;79;43
Resource 4,55;125;119;168;233;9;2;146;96;18;202;142;6;89;158;219
Resource 5,70;17;253;213;8;164;217;83;81;86;97;193;179;102;242;170
Resource 6,77;87;135;88;194;232;176;160;215;13;221;127;181;48;10;124
Resource 7,78;137;175;69;38;255;196;225;224;42;259;45;246;188;50;228
Resource 8,207;208;147;5;32;23;210;153;22;64;152;184;104;14;165;126
Resource 9,203;161;1;49;84;66;65;72;204;109;3;264;91;24;206;144
Resource 10,231;57;234;236;141;182;154;37;247;103;192;130;15;107;7;94
Resource 11,129;123;190;92;121;116;132;150;159;230;237;151;162;82;20
Resource 12,29;156;76;261;243;75;58;201;178;169;138;41;4;216;80
Resource 13,226;131;59;199;200;189;263;185;235;122;214;74;136;198;31
Resource 14,256;39;112;56;244;53;36;120;187;139;249;251;110;149;205
Resource 15,71;257;73;173;239;218;99;157;171;67;26;28;248;46;191
Resource 16,118;108;90;222;25;180;68;145;174;27;134;21;51;52;240
