resource_name,assignment_ids
Resource 0,387;428;176;442;202;19;172;266;333;279;246;368;165;72;377;215;244;403;384;78;328;106;351;45;18;336;53;452;350
Resource 1,142;234;198;396;320;281;259;443;84;138;469;230;10;274;140;239;40;399;411;308;425;260;360;175;5;183;2;235;174
Resource 2,371;48;325;192;463;466;253;290;340;55;282;20;144;446;131;207;429;225;185;127;431;114;273;361;188;15;448;201;464
Resource 3,218;393;115;327;121;376;299;416;449;315;22;430;79;156;149;295;409;269;220;204;100;342;99;77;397;159;241;90;311
Resource 4,373;432;426;118;29;254;173;89;46;394;205;475;233;67;421;357;94;383;415;103;133;262;364;265;304;276;214;180;68
Resource 5,61;356;97;343;28;381;419;242;134;459;433;196;25;102;93;153;267;186;285;217;422;258;227;66;444;359;467;334;348
Resource 6,275;81;440;255;33;292;460;132;248;391;247;434;112;413;280;484;257;182;462;277;51;148;353;164;468;427;8;21;178
Resource 7,88;296;401;294;352;450;91;480;344;7;137;291;335;75;126;32;404;30;363;50;92;341;37;408;486;199;332;14;366
Resource 8,301;372;221;197;104;347;369;349;74;123;167;321;412;326;470;331;231;59;125;441;288;76;41;157;317;451;213;289;161
Resource 9,0;346;35;109;44;420;378;65;105;263;414;300;355;309;456;473;120;406;226;436;71;73;405;24;31;129;62;482;305
Resource 10,95;152;374;124;43;195;402;27;3;96;179;191;150;312;211;163;240;70;283;9;370;445;286;278;54;457;293;297;400
Resource 11,209;375;271;310;339;98;193;485;435;6;313;16;472;110;210;83;222;187;136;52;423;455;208;169;437;398;49;418;158
Resource 12,57;264;190;101;111;245;1;116;249;382;224;323;365;113;483;477;184;146;261;128;166;82;302;143;12;26;410;155
Resource 13,47;17;287;219;389;306;130;354;181;319;474;38;324;478;447;479;386;58;461;439;151;212;256;23;108;379;238;64
Resource 14,392;385;465;107;80;194;147;63;380;303;362;189;367;338;162;316;154;453;407;438;322;56;458;454;60;284;170;34
Resource 15,298;232;329;417;345;206;318;390;358;42;117;119;216;160;141;177;388;86;471;395;270;85;4;87;229;11;424;122
Resource 16,200;272;476;223;228;268;250;145;237;13;487;337;168;314;135;36;139;481;243;252;251;236;39;203;330;307;69;171
