resource_name,assignment_ids
Resource 0,93;46;134;4;45;121;96;107;85;43;149;42;95;15;90
Resource 1,63;24;125;65;143;102;17;61;105;103;62;57;117;40
Resource 2,29;86;53;55;135;34;150;74;142;89;39;151;111;88
Resource 3,6;64;130;118;152;82;25;59;18;54;75;137;128;66
Resource 4,14;5;50;101;33;100;37;145;127;13;91;26;122;94
Resource 5,97;126;106;131;129;44;144;21;47;81;120;7;70;58
Resource 6,87;133;48;16;76;19;92;51;41;28;67;116;35;115
Resource 7,36;27;139;12;138;8;110;136;84;79;148;132;119;22
Resource 8,30;98;32;9;113;154;69;80;141;60;83;0;10;99
Resource 9,140;77;72;124;38;1;3;20;147;11;71;114;123;2
Resource 10,52;153;31;146;73;78;23;104;56;68;112;109;49;108
