resource_name,assignment_ids
Resource 0,170;93;206;16;213;87;3;169;183;102;30;110;240;101;175;163;116;89;320;5;69;341;272;152
Resource 1,67;127;260;13;343;41;245;216;230;144;7;106;185;234;218;28;348;235;61;118;167;332;264;172
Resource 2,97;227;333;60;64;24;135;48;128;321;222;290;125;322;311;91;310;164;37;14;338;129;109;298
Resource 3,345;51;250;176;294;339;302;347;71;246;132;107;139;145;174;6;256;205;229;181;208;274;103;292
Resource 4,21;113;122;329;35;289;202;257;54;284;119;255;318;0;70;105;65;300;195;148;270;117;73
Resource 5,265;184;171;62;197;194;207;153;155;281;151;315;242;330;204;156;186;319;143;133;57;134;22
Resource 6,219;342;137;29;283;307;220;114;130;39;312;52;199;81;154;124;96;95;191;121;288;25;212
Resource 7,279;210;160;88;146;159;293;161;11;58;304;336;99;40;1;295;187;76;314;317;328;75;26
Resource 8,68;325;344;18;259;275;261;12;313;237;31;108;142;306;158;173;98;79;327;305;92;82;131
Resource 9,43;267;136;123;100;72;55;221;179;201;247;211;180;165;277;36;203;178;53;285;49;162;251
Resource 10,232;337;254;188;182;77;192;276;2;224;50;166;140;196;269;20;223;228;271;198;138;10;273
Resource 11,23;253;226;45;59;115;189;233;299;147;33;15;291;243;209;47;296;217;4;85;112;126;157
Resource 12,17;150;32;238;287;236;241;83;94;80;141;249;9;215;335;239;84;190;263;66;308;104;120
Resource 13,324;193;200;19;63;74;268;309;280;303;278;8;90;177;244;214;38;258;34;326;78;266;231
Resource 14,86;334;297;46;252;27;149;44;248;225;323;111;282;286;262;168;301;331;42;340;316;346;56
