resource_name,assignment_ids
Resource 0,202;180;62;194;74;253;342;289;6;254;255;96;28;271;94;219;174;185;47
Resource 1,92;73;8;238;111;244;97;5;140;114;275;201;312;226;236;235;165;268;183
Resource 2,164;280;103;200;159;230;310;223;212;286;76;99;328;132;139;130;329;54;265
Resource 3,112;262;338;53;284;155;333;38;153;307;0;64;158;321;16;42;148;184;324
Resource 4,345;231;78;127;261;245;82;327;302;300;108;213;110;281;33;335;171;274;267
Resource 5,150;220;287;181;7;75;50;31;214;273;246;207;91;249;168;251;347;188;144
Resource 6,301;189;30;191;134;90;172;121;22;27;151;135;177;169;4;166;196;278
Resource 7,326;138;346;308;285;337;84;25;252;13;24;102;154;15;49;296;118;10
Resource 8,80;86;44;215;71;98;216;290;175;305;83;282;12;162;319;146;60;330
Resource 9,32;208;43;259;228;163;3;122;234;58;65;179;221;136;52;106;203;222
Resource 10,224;210;291;331;315;294;232;95;325;67;195;269;66;193;279;288;48;34
Resource 11,101;270;217;277;26;143;157;23;258;11;322;128;225;211;182;105;125;152
Resource 12,293;343;149;124;57;85;298;241;59;55;237;229;320;56;317;197;156;46
Resource 13,70;37;311;283;123;29;145;133;40;109;100;186;79;142;81;18;72;36
Resource 14,204;299;93;35;170;239;250;61;178;69;167;306;339;243;344;1;247;297
Resource 15,161;131;68;272;192;107;295;206;218;209;240;313;45;63;334;51;160;199
Resource 16,304;41;266;303;141;77;292;147;116;9;117;341;173;190;257;126;316;309
Resource 17,233;19;205;2;242;198;318;323;88;332;176;137;113;20;256;14;39;187
Resource 18,340;263;104;21;260;120;314;89;227;264;276;87;17;336;115;248;119;129
