resource_name,assignment_ids
Resource 0,110;44;120;130;206;122;84;157;166;113;203;186;156;109;135;34;70
Resource 1,43;205;27;191;175;75;165;207;101;144;173;6;190;50;183;158;142
Resource 2,199;31;121;65;104;41;81;25;145;185;187;204;68;181;108;64;49
Resource 3,141;11;150;137;76;40;36;8;88;90;79;139;112;77;57;114
Resource 4,71;140;107;93;179;21;188;147;69;176;95;193;180;168;133;136
Resource 5,208;45;47;48;159;174;152;38;62;16;116;29;26;117;196;210
Resource 6,153;102;58;182;167;83;59;37;12;73;94;149;129;18;87;63
Resource 7,46;155;42;72;85;74;60;22;127;23;132;143;198;98;106;91
Resource 8,164;13;9;14;197;82;195;189;178;61;125;131;169;92;80;160
Resource 9,99;17;209;134;97;177;194;56;24;67;66;172;119;111;86;1
Resource 10,28;15;171;19;53;192;2;20;128;200;0;33;54;30;32;154
Resource 11,170;126;4;163;148;35;124;138;10;105;3;146;78;201;151;51
Resource 12,7;123;118;161;5;202;96;100;184;115;103;55;162;52;39;89
