resource_name,assignment_ids
Resource 0,32;64;92;2;14;83;55;35
Resource 1,34;54;74;12;72;4;47;50
Resource 2,8;13;107;11;60;97;16;116
Resource 3,39;53;23;75;67;36;45;89
Resource 4,76;51;115;29;69;28;42;49
Resource 5,37;46;111;90;106;71;95;77
Resource 6,112;18;43;40;7;3;78;27
Resource 7,81;59;113;9;61;52;86;100
Resource 8,58;31;5;38;65;96;41;44
Resource 9,70;15;85;56;0;82;17;99
Resource 10,108;62;21;48;98;109;26;91
Resource 11,110;101;102;104;63;33;73;84
Resource 12,93;57;79;114;10;25;103
Resource 13,105;19;68;6;66;80;87
Resource 14,1;20;24;88;94;22;30
