id,hours,start,duration
0,344,0,34
1,61,0,6
2,751,0,75
3,443,75,44
4,51,0,5
5,117,0,11
6,112,0,11
7,74,0,7
8,161,0,16
9,161,0,16
10,92,0,9
11,433,0,43
12,91,0,9
13,284,0,28
14,65,0,6
15,66,0,6
16,162,0,16
17,148,0,14
18,175,11,17
19,317,0,31
20,110,0,11
21,190,0,19
22,177,0,17
23,72,0,7
24,165,7,16
25,53,7,5
26,249,23,24
27,162,0,16
28,126,0,12
29,121,0,12
30,108,16,10
31,111,0,11
32,396,0,39
33,50,6,5
34,70,0,7
35,97,7,9
36,50,0,5
37,93,0,9
38,125,9,12
39,253,43,25
40,57,0,5
41,149,0,14
42,155,0,15
43,187,9,18
44,180,6,18
45,356,24,35
46,86,0,8
47,1013,0,101
48,472,101,47
49,357,101,35
50,271,101,27
51,359,128,35
52,274,136,27
53,96,11,9
54,1468,20,146
55,67,160,6
56,250,166,25
57,74,0,7
58,114,7,11
59,75,0,7
60,78,7,7
61,95,14,9
62,275,23,27
63,738,50,73
64,72,50,7
65,363,0,36
66,77,2,7
67,106,36,10
68,120,46,12
69,505,75,50
70,101,166,10
71,80,176,8
72,567,184,56
73,121,176,12
74,50,240,5
75,358,245,35
76,78,166,7
77,52,0,5
78,268,11,26
79,566,0,56
80,78,50,7
81,676,57,67
82,139,43,13
83,312,56,31
84,130,173,13
85,639,50,63
86,93,163,9
87,51,6,5
88,53,124,5
89,205,28,20
90,221,48,22
91,50,148,5
92,295,172,29
93,59,50,5
94,61,55,6
95,87,61,8
96,227,113,22
97,52,135,5
98,69,140,6
99,104,136,10
