resource_name,assignment_ids
Resource 0,100;69;59;209;202;217;134;196;60;188;170;52;91;95;225;206
Resource 1,11;252;94;141;5;78;144;227;46;17;241;107;1;174;28;177
Resource 2,152;237;145;55;128;205;9;137;130;171;62;148;66;3;2;103
Resource 3,186;175;257;112;42;223;126;38;45;92;125;30;102;122;0;247
Resource 4,73;197;67;219;143;51;251;109;154;230;201;243;47;156;120;90
Resource 5,242;231;12;44;173;117;88;96;194;25;198;93;179;86;63
Resource 6,218;32;65;111;20;165;254;131;178;195;212;29;228;203;256
Resource 7,216;81;26;213;184;124;168;79;200;255;215;161;236;123;105
Resource 8,118;10;54;190;13;31;57;163;101;199;183;21;6;139;142
Resource 9,27;129;99;41;85;132;39;167;58;37;71;74;192;4;224
Resource 10,258;113;244;253;98;138;36;19;89;116;15;77;35;80;166
Resource 11,83;43;22;82;208;121;7;24;18;33;226;84;68;191;238
Resource 12,61;147;53;204;248;210;150;49;187;149;180;115;176;235;185
Resource 13,23;233;181;214;8;151;182;162;250;56;106;211;14;189;127
Resource 14,153;246;159;240;193;76;245;72;220;34;135;48;232;239;110
Resource 15,160;114;97;87;133;229;64;234;157;259;104;40;119;136;16
Resource 16,140;222;50;164;221;108;172;207;146;158;249;70;169;155;75
