resource_name,assignment_ids
Resource 0,143;63;18;206;195;159;13;77;122;126;117;169;72;196;65;9;82
Resource 1,71;108;36;150;121;151;144;11;95;147;26;199;94;0;162;116;10
Resource 2,202;182;52;54;216;208;23;183;28;200;152;138;3;193;214;102;69
Resource 3,106;207;5;153;123;51;80;187;34;37;48;148;127;45;142;24;135
Resource 4,96;41;46;90;205;124;173;74;83;137;50;58;85;59;160;12;78
Resource 5,87;204;17;168;35;47;157;105;8;86;146;64;14;16;101;163;145
Resource 6,213;154;118;201;7;194;88;79;32;165;53;6;170;66;130;190;120
Resource 7,40;15;212;61;68;136;188;114;38;92;43;167;84;67;209;191;129
Resource 8,60;25;134;103;172;133;89;100;76;175;57;29;115;166;93;75;189
Resource 9,49;174;21;110;91;198;155;20;139;186;56;185;132;62;44;107
Resource 10,211;141;98;55;27;180;119;109;1;125;164;149;184;203;70;210
Resource 11,33;178;99;156;158;177;111;113;22;19;171;104;176;30;215;42
Resource 12,140;112;81;39;97;192;73;181;2;128;179;4;161;197;131;31
