resource_name,assignment_ids
Resource 0,474;482;243;310;315;55;415;400;367;145;397;394;160;414;144;227;110;413;38;136;32;470;478;244;454;340;123;59;483
Resource 1,346;153;389;320;162;335;264;287;142;377;428;241;381;466;64;39;251;86;291;94;97;48;361;313;95;452;169;476;170
Resource 2,177;362;52;269;190;356;445;163;171;14;40;42;101;126;2;183;481;386;28;385;4;460;73;127;114;129;77;246;37
Resource 3,247;446;29;13;103;88;219;149;327;276;240;105;354;23;336;157;429;271;154;21;185;322;308;390;444;49;406;477;388
Resource 4,449;282;47;175;480;393;255;231;131;434;441;166;448;87;462;416;316;430;443;213;383;187;305;376;83;25;152;456;420
Resource 5,118;193;201;373;208;27;156;372;432;180;419;275;485;290;471;330;120;435;19;353;382;254;98;82;51;84;426;210;115
Resource 6,270;369;233;196;33;199;44;100;99;10;122;412;321;24;173;238;465;301;179;20;283;15;461;7;134;384;302;148;9
Resource 7,294;409;249;232;137;113;317;220;195;11;125;92;216;339;347;181;138;226;421;298;399;325;467;151;189;318;165;224;364
Resource 8,281;31;79;365;404;360;304;178;204;85;334;328;63;479;80;1;239;121;12;319;16;256;133;69;203;140;370;237;248
Resource 9,343;260;427;230;423;311;437;392;155;395;314;130;67;234;184;74;293;168;22;188;225;266;236;431;112;405;403;455;17
Resource 10,401;214;265;235;75;450;124;323;90;458;6;342;252;174;229;484;250;3;402;417;143;263;245;457;46;307;262;433
Resource 11,58;221;159;453;366;65;96;62;41;176;186;309;375;18;374;459;211;5;93;222;259;104;378;267;358;468;253;146
Resource 12,128;345;379;194;202;272;107;223;289;228;407;53;268;30;475;440;158;337;296;218;424;333;380;387;147;285;198;277
Resource 13,200;78;207;273;212;0;164;338;350;172;132;36;278;135;363;141;303;61;209;352;329;351;332;54;425;167;60;257
Resource 14,410;81;102;349;56;368;242;297;442;70;341;215;109;192;191;106;119;411;286;280;43;217;326;197;205;348;359;391
Resource 15,418;279;139;473;447;371;312;306;72;34;150;117;355;451;66;331;288;45;300;464;258;108;469;161;182;71;436;357
Resource 16,408;206;422;57;324;439;396;463;438;398;284;8;274;76;91;472;292;50;89;35;111;26;261;299;116;295;344;68
