resource_name,assignment_ids
Resource 0,254;25;245;207;73;64;129;37;203;41;187;240;232;126;141;89;268;66
Resource 1,120;119;5;236;200;106;196;140;32;104;190;128;231;210;114;134;82
Resource 2,213;228;44;132;270;235;233;3;136;229;239;22;243;260;19;70;110
Resource 3,53;193;248;72;117;30;118;208;163;52;220;238;54;160;216;161;6
Resource 4,4;219;46;133;179;107;247;199;155;185;122;125;1;116;159;144;153
Resource 5,183;90;75;20;102;174;29;261;272;158;178;255;121;51;214;259;157
Resource 6,10;81;69;135;68;16;123;138;175;23;109;61;205;169;249;21;42
Resource 7,35;146;147;27;269;65;212;230;100;257;15;211;222;244;139;173;13
Resource 8,154;143;145;188;38;60;93;198;242;131;77;197;137;18;58;151;79
Resource 9,76;241;267;103;226;11;57;256;78;85;271;262;86;177;95;164;250
Resource 10,2;184;217;67;149;204;17;105;91;150;80;148;87;88;98;63;201
Resource 11,47;74;99;112;113;96;237;264;31;97;55;49;101;59;215;0;251
Resource 12,253;202;206;40;71;152;108;221;170;181;142;265;195;186;218;266;26
Resource 13,39;124;167;263;182;7;14;56;8;258;127;62;172;94;34;192;28
Resource 14,43;115;223;227;224;171;92;168;12;180;166;252;24;84;111;130;191
Resource 15,33;165;50;246;194;156;189;9;225;176;36;209;83;234;162;45;48
