resource_name,assignment_ids
Resource 0,18;249;324;167;139;232;60;254;334;99;309;265;389;260;158;261;308;169;2;94;123;209;12;124;383;29;16;75;199;138;100
Resource 1,374;372;95;0;128;155;194;93;146;319;373;108;306;168;382;210;244;121;132;47;120;162;220;88;91;213;341;329;141;318;160
Resource 2,27;32;183;3;67;275;73;101;207;131;119;173;259;336;208;366;298;352;390;142;367;223;58;227;147;31;392;280;307;286;311
Resource 3,127;86;140;109;149;133;48;222;335;245;235;193;288;333;178;270;165;28;240;103;81;351;188;112;343;263;370;143;198;291
Resource 4,206;358;189;226;365;175;340;61;371;350;37;312;271;105;163;6;170;98;7;347;305;299;164;185;161;92;369;26;217;166
Resource 5,43;134;287;289;41;279;52;184;314;379;353;313;204;125;228;354;339;246;256;375;381;137;23;297;191;114;24;247;219;326
Resource 6,180;172;310;359;195;89;129;153;157;380;15;285;368;269;273;179;360;130;79;34;122;361;262;234;378;348;44;356;40;255
Resource 7,63;363;126;181;346;33;5;278;77;97;238;68;197;113;386;388;215;282;224;66;53;65;230;102;294;214;35;39;145;355
Resource 8,49;90;202;377;51;8;221;80;4;330;251;71;154;196;362;248;200;385;96;78;148;14;218;182;21;56;284;111;328;349
Resource 9,10;252;277;364;174;36;290;316;106;70;110;150;296;331;268;192;337;225;11;156;171;17;231;274;136;241;1;266;344;303
Resource 10,239;19;391;82;267;338;301;201;304;317;281;22;25;212;144;302;384;327;107;84;300;229;315;264;116;159;242;320;323;151
Resource 11,177;20;115;64;13;59;45;387;74;205;253;176;104;376;55;295;211;332;69;187;292;342;321;236;118;233;50;203;250;30
Resource 12,72;42;152;243;87;258;357;216;237;83;117;9;54;190;135;85;272;38;345;276;322;283;57;186;325;257;62;293;46;76
