resource_name,assignment_ids
Resource 0,45;107;46;41;19;74;91;21
Resource 1,79;73;59;89;68;120;60;23
Resource 2,99;112;125;48;36;22;97;29
Resource 3,84;39;70;104;90;49;9;10
Resource 4,76;38;67;116;40;93;80;37
Resource 5,124;56;28;61;122;78;115;20
Resource 6,24;71;83;4;8;123;106;0
Resource 7,30;77;33;17;86;69;119;50
Resource 8,72;13;11;52;96;82;5;7
Resource 9,94;102;57;103;114;3;75;15
Resource 10,1;32;62;51;98;58;18;31
Resource 11,26;54;126;25;95;64;63;47
Resource 12,113;101;16;27;121;2;88;65
Resource 13,44;35;34;117;105;108;92;111
Resource 14,118;85;12;42;6;100;43;53
Resource 15,66;87;109;81;55;14;110
