resource_name,assignment_ids
Resource 0,57;173;35;144;247;44;78;333;269;54;193;183;34;227;322;130;286;190;55;218;212;327;26;72
Resource 1,92;67;332;240;172;206;168;318;136;296;200;46;89;147;219;321;263;338;102;110;33;196;132
Resource 2,283;47;126;123;224;38;138;275;293;244;163;230;204;20;326;61;139;177;37;87;252;298;100
Resource 3,336;257;151;31;339;105;150;315;281;308;45;27;289;239;17;234;152;277;317;270;62;260;32
Resource 4,42;342;174;22;81;70;265;319;248;131;273;140;241;284;341;242;135;316;94;337;148;149;282
Resource 5,19;90;294;116;7;250;191;199;213;124;292;290;36;83;184;39;64;312;29;278;237;74;134
Resource 6,52;95;288;142;43;306;86;304;79;28;88;325;50;166;98;137;245;97;194;185;115;41;310
Resource 7,15;313;66;267;143;119;246;235;285;91;209;118;103;161;129;73;297;13;266;302;51;303;117
Resource 8,202;255;155;85;291;2;25;167;189;211;30;222;5;175;256;80;305;101;113;176;21;14;63
Resource 9,158;215;4;210;228;280;272;320;48;216;65;58;229;153;128;181;71;68;251;107;287;40;157
Resource 10,114;141;180;295;16;108;314;300;264;111;122;231;238;75;187;225;259;258;162;330;171;243;207
Resource 11,127;69;133;220;328;253;307;156;1;214;160;24;186;192;60;170;8;198;261;276;223;232;12
Resource 12,343;112;271;203;23;254;165;84;197;208;311;201;109;10;334;301;221;188;56;76;154;159;268
Resource 13,279;0;121;120;323;226;82;236;324;11;179;106;233;53;309;96;169;249;3;195;331;125;6
Resource 14,299;49;340;145;178;274;182;59;18;9;335;345;77;99;344;217;164;262;329;93;146;205;104
