resource_name,assignment_ids
Resource 0,198;320;158;37;183;216;45;32;116;26;213;140;105;267;172;190;316;27;310
Resource 1,222;150;149;199;179;14;107;87;246;206;280;269;22;313;203;170;215;302;242
Resource 2,8;66;268;166;82;279;0;43;59;78;18;143;57;47;298;141;3;88;239
Resource 3,306;156;186;177;180;129;303;200;192;272;64;224;229;157;109;33;219;290
Resource 4,171;31;85;127;93;211;38;40;184;202;264;148;118;283;261;319;193;214
Resource 5,284;204;189;90;275;254;169;84;130;54;71;324;223;270;221;1;278;207
Resource 6,10;12;53;138;281;289;119;17;231;50;123;209;55;304;173;271;307;287
Resource 7,159;83;187;234;115;185;315;137;212;133;120;48;58;139;301;2;122;232
Resource 8,124;111;24;305;30;230;247;95;168;174;81;233;322;317;77;128;162;99
Resource 9,41;5;205;265;9;175;134;28;201;136;260;286;154;65;21;323;297;108
Resource 10,296;49;276;42;16;167;245;288;155;60;74;76;135;6;151;217;79;181
Resource 11,69;4;244;251;113;125;94;182;114;225;101;188;197;13;92;117;240;228
Resource 12,62;7;248;100;104;144;274;112;176;70;103;106;311;35;80;73;326;178
Resource 13,266;52;218;15;147;160;146;142;241;51;293;226;121;249;96;39;243;152
Resource 14,165;89;86;132;295;194;263;235;36;285;325;61;258;20;220;294;252;237
Resource 15,300;67;196;195;292;29;253;210;282;75;309;262;255;321;110;299;68;238
Resource 16,153;56;91;208;273;34;191;236;25;257;314;256;250;23;145;72;11;102
Resource 17,126;277;318;312;161;44;131;227;46;164;308;19;163;63;291;98;259;97
