resource_name,assignment_ids
Resource 0,199;268;416;78;22;178;108;414;453;418;363;208;306;152;231;33;365;426;218;259;397;76;156;83;328;64;234;237;159;290;181;21;209;449;193;117;406;153;373;323;179;175
Resource 1,92;444;16;293;122;429;303;239;67;351;102;352;329;358;409;275;162;261;114;228;57;38;338;23;412;436;87;188;212;8;311;131;167;13;185;72;62;143;147;243;4;266
Resource 2,47;69;1;379;347;410;307;278;400;403;91;74;291;84;319;258;262;238;454;273;213;310;349;207;287;36;39;198;88;408;29;27;257;380;364;369;419;354;446;332;340;445
Resource 3,440;197;214;32;10;2;422;25;402;46;423;139;452;48;360;399;450;40;54;301;295;118;294;215;415;9;296;52;205;370;393;300;388;396;335;428;19;109;35;3;448;34
Resource 4,121;330;432;248;28;269;68;142;242;344;359;210;434;66;312;18;324;386;236;389;183;279;341;53;202;232;447;260;174;50;44;456;424;348;313;271;361;374;216;98;378;42
Resource 5,401;119;211;316;331;95;135;81;342;195;298;103;192;177;337;190;372;187;6;309;219;302;182;336;75;164;431;65;244;245;30;277;107;286;201;224;334;350;283;225;37;150
Resource 6,206;24;297;12;368;133;405;113;289;455;435;93;256;43;15;111;17;314;404;97;130;390;285;264;227;240;186;356;281;165;110;115;288;221;129;320;203;267;51;274;71;56
Resource 7,200;322;116;77;280;251;398;375;184;7;169;357;20;112;154;89;395;90;63;249;376;457;384;61;315;304;73;366;217;127;383;343;168;146;371;58;161;246;120;86;438;60
Resource 8,189;282;308;171;317;55;204;394;220;442;321;31;100;427;180;362;26;194;96;270;411;145;141;151;235;45;247;104;148;413;157;138;417;0;85;276;299;106;128;451;272
Resource 9,439;132;144;263;250;172;391;125;333;94;191;134;407;345;14;252;421;367;355;233;173;11;155;70;292;79;136;137;441;353;265;80;339;226;433;5;377;163;230;126;41
Resource 10,222;59;458;99;425;318;229;158;325;166;82;170;196;223;346;284;387;140;105;101;382;381;124;392;305;327;443;149;176;241;326;160;420;255;253;430;254;437;123;49;385
