resource_name,assignment_ids
Resource 0,95;41;187;159;111;13;37;109;178;170;149;90;207;54;145
Resource 1,59;79;132;224;134;29;39;44;219;161;16;107;215;47;104
Resource 2,75;86;21;146;81;122;131;194;108;135;156;188;166;152;123
Resource 3,124;185;72;157;71;48;190;181;203;98;9;118;97;3;174
Resource 4,0;211;30;201;125;26;136;83;212;27;52;4;18;38;7
Resource 5,74;60;73;143;204;160;155;23;87;169;110;220;100;195;8
Resource 6,42;121;222;32;25;92;171;84;126;68;206;209;218;53;91
Resource 7,96;154;186;85;129;61;184;213;151;158;208;12;180;182;150
Resource 8,24;221;202;141;198;137;103;36;58;70;119;200;34;214;179
Resource 9,176;177;55;14;93;20;57;105;140;33;167;31;45;99;128
Resource 10,2;116;43;101;165;153;144;88;216;80;76;17;142;28;69
Resource 11,66;210;162;65;1;183;163;168;130;50;22;51;173;94;5
Resource 12,117;127;138;189;147;115;67;113;78;10;196;199;6;114;112
Resource 13,133;77;205;15;40;191;192;172;19;164;148;89;223;197;64
Resource 14,102;106;175;63;62;49;56;193;11;46;35;120;217;82;139
