resource_name,assignment_ids
Resource 0,92;234;198;160;17;110;75;218;174;162;203;225;241;313;137;175;196;217;73;67;20;89;91;41;38;83;201;197
Resource 1,189;148;68;272;270;258;45;243;233;29;322;276;53;219;7;3;35;239;306;34;18;184;12;85;25;97;78;269
Resource 2,263;244;253;100;194;72;1;10;173;323;163;71;140;207;168;285;87;147;228;246;65;49;230;268;146;145;316
Resource 3,40;310;286;240;245;84;193;156;266;23;256;44;205;216;209;48;130;70;123;214;227;101;172;182;319;187;236
Resource 4,111;13;242;295;105;14;149;206;292;280;104;142;204;112;224;155;293;186;143;93;288;151;0;134;150;55;301
Resource 5,27;283;307;153;284;179;24;115;296;42;254;64;247;314;167;77;103;76;33;133;178;271;46;120;274;192;290
Resource 6,9;303;138;248;229;82;281;183;126;223;86;297;108;257;325;99;144;43;320;39;51;62;88;47;79;102;125
Resource 7,60;158;106;159;50;279;259;260;262;90;128;176;19;136;308;6;119;114;28;231;177;213;289;180;170;200;282
Resource 8,52;4;202;265;264;117;5;135;154;63;261;157;267;226;208;250;26;96;277;220;116;129;94;185;30;291;255
Resource 9,54;132;74;31;95;287;181;141;127;195;298;166;305;32;324;300;152;122;16;109;58;232;66;8;188;57;2
Resource 10,278;235;318;315;139;131;191;80;69;118;302;169;113;199;299;171;294;210;15;190;237;238;161;215;275;98;211
Resource 11,252;312;59;251;21;11;221;222;61;121;56;164;124;304;107;22;165;81;37;309;273;212;249;311;36;317;321
