resource_name,assignment_ids
Resource 0,26;75;118;109;36;112;35;24;94
Resource 1,115;2;22;52;5;14;108;66;101
Resource 2,38;106;17;136;132;70;80;74;58
Resource 3,46;131;62;82;44;51;20;138
Resource 4,15;126;99;40;104;68;84;23
Resource 5,25;88;96;34;32;107;89;16
Resource 6,133;116;1;8;111;56;29;33
Resource 7,53;59;7;3;91;117;4;134
Resource 8,10;125;19;127;87;85;77;110
Resource 9,64;31;100;102;30;39;95;49
Resource 10,41;12;69;113;9;43;105;121
Resource 11,90;92;137;50;28;98;73;67
Resource 12,11;57;124;130;0;55;83;48
Resource 13,97;63;37;123;18;6;120;93
Resource 14,129;61;42;76;65;135;72;21
Resource 15,79;45;78;60;86;27;114;122
Resource 16,13;71;81;54;128;47;119;103
