resource_name,assignment_ids
Resource 0,112;122;21;95;134;215;143;83;181;131;23;81;7;203;64;145;142
Resource 1,207;48;173;126;164;154;235;5;51;232;110;49;20;236;202;180;60
Resource 2,200;2;214;204;43;103;70;211;102;190;229;195;82;32;52;19;226
Resource 3,162;155;169;118;151;0;185;4;197;109;8;152;46;141;6;66;10
Resource 4,206;144;53;17;133;125;37;44;191;35;101;124;157;217;15;230;201
Resource 5,14;167;72;36;220;71;216;55;115;119;212;223;234;160;99;193;45
Resource 6,41;28;163;42;199;166;147;30;196;77;172;198;189;57;111;94;175
Resource 7,120;176;183;31;213;140;170;105;11;86;117;177;69;80;78;171;138
Resource 8,227;184;121;85;128;50;26;218;188;123;116;210;113;104;40;168;58
Resource 9,194;137;88;87;139;18;132;205;225;228;38;12;165;208;219;209;84
Resource 10,106;34;221;222;24;29;107;89;158;97;231;192;237;149;114;27;91
Resource 11,153;224;161;47;146;178;233;150;156;159;74;92;25;16;90;108;135
Resource 12,96;129;56;127;73;174;54;130;9;3;39;67;1;62;61;65;186
Resource 13,148;75;59;76;100;22;136;68;79;98;93;182;13;179;187;33;63
