resource_name,assignment_ids
Resource 0,305;355;65;292;96;265;30;338;117;174;94;378;190;231;11;25;74;73;240;323;229;376;242
Resource 1,244;133;194;59;235;262;118;291;246;348;26;166;182;215;319;284;181;115;272;255;159;306;330
Resource 2,110;342;380;383;6;257;390;333;304;188;224;326;303;172;233;208;146;350;157;161;104;129;132
Resource 3,16;359;205;56;234;226;90;347;123;149;283;289;250;22;256;35;4;287;204;212;382;199;169
Resource 4,247;143;282;70;173;139;18;111;386;353;19;339;91;150;31;79;297;183;274;269;248;40;285
Resource 5,276;290;81;366;153;239;357;83;318;309;163;281;128;112;264;322;68;138;82;387;60;160;137
Resource 6,363;47;388;312;327;321;346;243;89;320;191;316;131;288;120;356;135;267;42;310;192;210;64
Resource 7,260;253;223;228;0;345;165;198;184;152;384;77;21;107;225;12;311;361;134;75;23;203;27
Resource 8,377;329;102;301;220;341;43;158;95;1;53;258;207;331;41;238;63;219;179;197;185;362;144
Resource 9,103;237;315;278;206;381;93;351;358;352;293;86;252;218;193;49;66;336;48;76;99;5;105
Resource 10,251;354;230;296;69;389;213;148;273;299;343;216;154;349;177;214;373;121;44;88;50;15;328
Resource 11,369;360;271;340;92;209;130;125;245;67;365;124;263;266;109;140;370;302;10;317;14;141;7
Resource 12,52;227;145;106;202;176;332;36;2;39;170;58;168;13;313;236;254;156;20;180;270;279;171
Resource 13,222;286;371;277;195;126;300;379;9;55;97;189;98;51;147;8;32;54;162;374;295;62;136
Resource 14,167;122;280;275;232;28;164;57;3;298;45;196;29;186;84;175;85;72;87;113;33;241;108
Resource 15,268;178;337;307;364;201;335;367;221;100;80;334;101;211;217;114;142;385;17;344;24;151;78
Resource 16,127;200;71;249;325;38;261;259;372;187;155;34;324;375;294;61;308;116;314;37;368;119;46
