resource_name,assignment_ids
Resource 0,286;178;133;169;50;70;38;122;144;99;173;195;98;21;246;265;37;290
Resource 1,154;44;181;232;14;101;103;251;257;295;285;284;170;1;25;108;210;279
Resource 2,6;23;260;179;266;85;223;72;126;67;151;249;162;262;150;256;234;230
Resource 3,268;118;131;296;218;106;205;229;111;161;221;71;35;148;167;12;0;30
Resource 4,24;141;152;254;159;241;91;164;4;86;207;75;281;215;252;22;83;125
Resource 5,117;146;216;227;147;68;231;193;247;36;200;134;244;59;57;255;245;288
Resource 6,163;20;89;102;189;84;43;168;11;41;31;27;291;270;136;26;203;297
Resource 7,119;16;49;219;5;76;55;138;298;283;80;149;109;18;174;135;274;208
Resource 8,156;73;3;96;171;94;33;264;64;97;272;88;15;153;140;199;278;166
Resource 9,105;13;294;128;236;155;253;220;63;192;204;235;56;143;184;79;10;100
Resource 10,206;198;69;276;34;112;277;58;269;157;87;90;78;17;202;271;209;261
Resource 11,172;240;48;233;123;52;120;292;237;280;28;46;214;238;77;187;51
Resource 12,132;113;82;201;289;2;224;129;53;142;60;176;9;121;226;242;196
Resource 13,29;185;282;182;104;263;299;124;190;39;45;197;114;186;212;211;92
Resource 14,239;74;54;137;66;273;8;165;19;40;275;81;65;32;47;250;180
Resource 15,7;127;145;62;191;61;267;248;95;188;177;175;42;259;107;158;160
Resource 16,243;225;115;228;194;258;93;213;183;116;110;139;130;217;293;222;287
