resource_name,assignment_ids
Resource 0,94;240;360;257;337;188;346;347;235;142;247;186;98;251;169;228;326;397;182;244;222;224;217;12;341;49;87;415;180;234;211
Resource 1,389;193;208;3;145;402;183;301;45;387;66;50;358;325;423;32;272;149;267;10;245;336;413;146;359;408;312;151;43;71;281
Resource 2,165;99;197;176;300;329;125;263;345;68;174;290;216;392;393;365;419;363;6;425;96;181;441;56;118;448;353;215;175;136;210
Resource 3,352;307;231;268;196;453;313;114;435;324;187;171;372;16;139;69;150;285;303;185;396;274;135;276;74;205;126;271;179;132;84
Resource 4,81;298;370;207;292;5;120;51;127;124;11;115;29;177;406;194;357;48;335;133;367;31;454;321;89;173;351;409;320;229;82
Resource 5,445;86;61;450;238;349;269;299;287;384;230;374;327;434;424;241;250;33;403;258;112;9;52;414;161;80;253;202;121;178
Resource 6,83;184;129;279;340;452;433;288;319;92;63;47;77;42;191;322;128;111;436;437;286;144;264;100;225;172;236;106;19;297
Resource 7,427;289;306;59;122;190;432;138;418;160;162;110;55;275;404;198;62;13;386;53;54;85;291;17;137;72;362;76;342;1
Resource 8,15;295;261;248;315;277;46;4;350;308;204;38;0;157;152;239;168;379;220;382;226;141;78;375;20;405;273;430;237;158
Resource 9,195;280;26;105;310;18;116;214;201;212;206;97;209;266;93;163;30;371;140;14;22;443;378;200;218;159;109;394;338;412
Resource 10,23;431;107;256;323;447;24;259;305;334;282;385;255;330;170;333;219;439;410;37;155;246;102;252;34;130;343;317;373;113
Resource 11,70;355;366;57;328;262;265;44;364;143;400;426;304;302;167;164;390;227;383;417;75;8;199;166;60;391;28;189;123;203
Resource 12,117;95;369;119;381;318;103;232;368;411;283;316;64;73;221;399;58;332;104;296;348;223;388;428;25;429;213;21;339;422
Resource 13,254;249;88;284;407;293;451;108;444;39;90;243;156;442;147;395;134;440;449;153;416;7;148;377;278;398;361;401;192;154
Resource 14,376;41;2;27;270;101;233;309;260;65;242;131;36;354;311;294;380;314;91;40;67;438;420;356;331;421;79;344;35;446
