resource_name,assignment_ids
Resource 0,97;113;149;116;11;154;161;166;73
Resource 1,14;34;42;47;123;19;74;101;102
Resource 2,70;77;69;46;12;169;90;159;35
Resource 3,13;54;152;57;126;27;164;25;67
Resource 4,110;124;0;49;148;136;118;86;105
Resource 5,18;17;75;83;53;140;37;56;6
Resource 6,165;28;104;9;51;30;58;99;1
Resource 7,8;127;162;3;137;10;146;62;76
Resource 8,59;163;72;133;21;66;81;122;64
Resource 9,92;71;168;50;170;44;144;107;43
Resource 10,5;125;114;24;15;108;112;33;26
Resource 11,117;23;121;94;132;119;36;96;142
Resource 12,156;120;98;128;153;160;39;87;155
Resource 13,100;106;55;38;78;143;22;41;157
Resource 14,48;61;80;79;45;40;29;88;2
Resource 15,139;82;63;135;20;93;141;158;130
Resource 16,89;111;68;84;60;150;138;131;103
Resource 17,91;52;134;16;31;109;32;115;65
Resource 18,147;95;85;167;7;4;151;129;145
