resource_name,assignment_ids
Resource 0,78;13;56;44;93;64;77
Resource 1,97;23;53;110;100;16;62
Resource 2,34;61;92;118;9;5;87
Resource 3,30;91;21;28;3;0;45
Resource 4,31;52;71;54;35;7;80
Resource 5,108;104;89;96;25;68
Resource 6,27;8;86;66;58;26
Resource 7,102;43;59;88;22;20
Resource 8,79;98;112;39;46;18
Resource 9,74;111;47;63;11;99
Resource 10,81;90;107;69;114;55
Resource 11,32;1;76;38;106;49
Resource 12,115;42;14;95;73;117
Resource 13,48;19;41;12;50;6
Resource 14,10;94;70;57;67;85
Resource 15,75;33;4;51;65;72
Resource 16,84;105;17;109;40;15
Resource 17,101;116;37;82;83;36
Resource 18,113;24;29;103;2;60
