resource_name,assignment_ids
Resource 0,101;201;104;40;116;187;88;26;142;180;5
Resource 1,94;173;30;11;86;98;9;112;132;81;35
Resource 2,10;13;68;4;162;83;153;114;147;185;158
Resource 3,91;46;95;57;60;203;71;136;97;192;53
Resource 4,72;0;156;113;17;2;157;18;125;145;90
Resource 5,144;179;152;149;37;16;103;111;131;150;193
Resource 6,89;66;108;7;202;70;178;79;69;39;27
Resource 7,12;137;195;161;67;127;52;126;82;159;25
Resource 8,33;191;22;105;190;160;140;122;196;44;47
Resource 9,129;87;188;31;199;151;143;59;172;1;23
Resource 10,38;74;171;75;19;186;20;169;119;204;133
Resource 11,76;163;123;176;73;177;128;8;85;63;21
Resource 12,200;99;110;181;135;51;55;167;29;184;48
Resource 13,102;78;3;194;139;56;100;42;43;138;34
Resource 14,165;65;170;36;115;54;121;134;148;15;61
Resource 15,84;14;174;164;49;117;146;107;130;32
Resource 16,124;80;58;197;154;41;166;96;189;92
Resource 17,183;24;155;168;62;109;120;64;106;93
Resource 18,28;141;50;182;45;175;6;198;118;77
