resource_name,assignment_ids
Resource 0,58;78;98;2;120;22;35;0;9;66;130
Resource 1,93;24;19;47;101;51;57;81;53;73;38
Resource 2,104;65;108;77;6;44;15;109;14;80;95
Resource 3,129;103;111;34;76;8;54;36;71;132
Resource 4,115;50;83;46;127;40;131;43;88;112
Resource 5,26;96;20;29;102;86;13;28;117;75
Resource 6,39;79;62;114;100;63;21;11;32;92
Resource 7,25;30;89;118;64;48;37;41;84;55
Resource 8,52;105;67;106;23;4;91;113;59;72
Resource 9,122;90;31;116;1;42;27;94;7;123
Resource 10,45;125;69;33;87;121;126;110;82;12
Resource 11,107;18;68;49;3;97;17;74;85;10
Resource 12,56;61;16;124;99;119;5;60;70;128
