resource_name,assignment_ids
Resource 0,139;66;184;181;278;75;233;136;148;236;285;258;53;334;31;161;74;304;306;166;308;211;330;213;52;354;369
Resource 1,168;259;71;358;108;316;154;68;257;158;266;150;232;92;13;350;70;302;249;197;272;174;275;229;169;359;277
Resource 2,228;303;82;294;132;104;198;317;366;171;121;357;215;32;105;291;329;360;36;125;140;115;30;339;245;73;296
Resource 3,29;146;351;327;276;226;331;93;335;61;320;88;239;189;183;126;348;96;315;35;164;255;165;192;48;325;219
Resource 4,297;87;2;365;286;264;149;27;175;19;234;147;253;4;273;336;141;287;119;271;62;128;220;301;200;76;118
Resource 5,300;265;69;24;155;1;21;81;113;177;45;203;23;12;274;223;290;281;54;251;201;83;46;361;109;237;134
Resource 6,85;39;172;371;72;163;26;205;111;152;352;240;305;84;110;41;137;295;107;182;159;367;238;100;57;341;89
Resource 7,368;102;319;97;25;267;28;356;363;129;311;37;99;42;10;44;77;15;362;224;208;160;151;199;347;312;284
Resource 8,186;218;193;196;283;333;170;344;202;185;142;191;206;313;17;292;49;212;256;260;321;130;355;135;289;5
Resource 9,16;101;56;94;91;246;179;143;103;254;120;8;326;60;167;78;20;263;86;67;328;50;90;269;307;187
Resource 10,127;95;227;22;217;221;340;40;162;209;116;270;131;55;51;364;298;145;133;262;338;268;79;176;3;194
Resource 11,332;279;188;318;243;6;38;63;242;7;210;322;190;173;282;33;349;58;80;293;241;204;34;123;225;124
Resource 12,9;288;345;0;11;180;346;247;18;342;314;59;310;14;98;353;230;337;370;122;309;252;153;323;64;222
Resource 13,112;231;207;178;248;43;299;343;47;250;216;280;235;65;195;114;106;244;138;214;157;156;117;261;324;144
