resource_name,assignment_ids
Resource 0,88;281;225;133;99;239;157;229;71;29;201;252;165;164;236;163;92;78
Resource 1,60;113;197;15;187;249;84;154;237;217;186;280;27;270;183;269;190;185
Resource 2,231;228;123;254;119;264;172;6;35;268;107;182;55;26;177;161;256;83
Resource 3,125;140;93;257;8;135;240;191;129;112;134;289;211;32;105;188;24;285
Resource 4,64;146;3;142;61;222;139;216;38;74;121;114;277;232;202;152;136
Resource 5,91;16;89;18;127;41;265;13;124;77;169;21;284;173;258;31;80
Resource 6,162;168;287;30;205;226;192;147;148;158;20;5;266;122;58;210;278
Resource 7,116;101;292;180;115;65;271;227;288;12;34;243;206;104;67;37;189
Resource 8,95;276;181;176;39;66;221;194;73;255;230;4;100;282;193;52;90
Resource 9,42;233;208;10;82;1;11;149;213;220;224;275;128;159;44;85;108
Resource 10,103;200;98;259;170;137;94;203;110;2;70;171;7;272;130;195;244
Resource 11,153;36;219;166;47;56;126;235;81;46;79;155;151;274;48;0;156
Resource 12,141;111;28;59;209;214;196;267;178;291;286;120;175;96;248;247;132
Resource 13,54;198;14;246;68;49;45;33;53;207;57;184;250;199;131;215;17
Resource 14,263;283;145;43;262;167;251;242;290;223;204;150;87;97;253;245;138
Resource 15,63;118;25;22;102;179;86;279;72;40;62;273;117;23;218;241;76
Resource 16,51;109;234;106;260;75;50;212;144;9;238;261;174;19;160;69;143
