resource_name,assignment_ids
Resource 0,95;57;159;303;17;262;197;250;117;288;152;176;39;242;336;103;232;82
Resource 1,275;102;24;206;38;19;254;251;42;167;228;297;199;277;21;129;281;263
Resource 2,326;70;202;316;269;229;330;125;335;22;178;299;56;186;168;307;4;198
Resource 3,84;112;31;107;90;174;190;313;282;233;160;266;236;192;28;154;127;145
Resource 4,270;115;293;132;69;274;153;46;201;11;253;309;48;189;329;212;200;139
Resource 5,91;131;3;273;216;76;215;111;43;40;340;227;143;118;324;142;97;136
Resource 6,135;218;259;65;64;116;300;8;214;217;163;311;67;258;170;13;88;0
Resource 7,325;315;150;79;51;16;256;85;264;55;322;292;18;71;164;173;54;243
Resource 8,128;230;7;137;284;52;113;182;165;166;14;123;241;245;219;183;49;62
Resource 9,175;47;169;244;285;30;306;101;35;224;184;156;155;149;104;331;318;223
Resource 10,74;73;298;205;296;327;317;222;328;146;257;337;119;68;265;60;339;130
Resource 11,191;10;162;204;237;267;83;226;141;290;161;78;171;5;23;77;312;106
Resource 12,220;255;12;291;34;15;109;120;89;320;279;63;247;334;32;287;29;225
Resource 13,100;187;261;272;207;310;238;213;319;6;9;249;305;133;211;138;321;177
Resource 14,96;93;105;193;114;86;276;53;286;61;147;210;333;180;240;66;37;295
Resource 15,252;27;235;92;94;25;332;144;87;239;246;72;75;301;209;81;80;248
Resource 16,280;231;323;158;59;157;122;185;196;121;36;134;268;26;148;2;208;289
Resource 17,179;294;271;181;260;195;44;108;151;188;172;338;58;278;20;99;126;33
Resource 18,308;140;41;221;283;194;45;203;1;50;234;304;124;98;302;314;110
