resource_name,assignment_ids
Resource 0,409;304;308;123;288;122;246;375;40;154;79;30;91;440;356;67;185;244;408;413;248;494;389;172;407;127;449;352;226;216
Resource 1,175;105;428;364;81;103;29;198;115;328;183;167;8;101;269;173;151;85;58;241;297;112;206;403;121;194;242;224;400;491
Resource 2,332;252;463;202;345;69;276;261;284;186;285;355;417;219;214;119;418;93;63;464;422;264;254;145;182;273;149;423;489;171
Resource 3,294;45;18;164;251;111;62;361;315;192;13;44;386;210;404;277;193;218;327;66;205;259;322;426;365;401;383;369;10
Resource 4,331;89;168;446;213;27;372;385;442;228;334;50;456;209;17;333;480;459;116;310;138;52;444;234;153;161;351;392;381
Resource 5,275;75;336;215;102;126;76;11;281;107;471;7;94;229;474;257;80;450;448;339;158;303;37;267;325;34;340;144;441
Resource 6,419;159;20;95;379;184;157;86;282;350;341;169;225;130;131;133;211;187;179;317;291;290;472;237;376;41;49;84;104
Resource 7,280;395;370;487;363;479;2;484;117;367;223;309;204;286;256;68;268;78;477;258;323;483;377;222;443;465;142;397;469
Resource 8,307;455;33;433;87;162;283;143;492;354;482;330;453;189;313;6;485;374;134;28;318;203;454;82;132;416;394;92;378
Resource 9,64;24;329;15;12;473;57;70;152;221;180;19;197;263;53;51;435;109;71;495;436;316;253;174;493;137;106;249;415
Resource 10,181;26;0;412;88;240;177;481;83;466;311;113;22;232;54;260;380;97;314;326;335;14;357;278;298;96;292;155;337
Resource 11,38;287;302;72;366;146;3;490;427;47;120;431;4;230;488;16;188;21;60;32;338;312;250;98;451;274;452;156;439
Resource 12,301;320;31;457;467;399;434;344;217;160;199;468;295;358;227;262;140;458;125;266;77;108;348;46;396;371;391;124;271
Resource 13,362;255;200;414;129;424;300;373;56;25;208;147;445;135;461;353;321;359;139;296;324;212;178;148;343;410;411;73;245
Resource 14,141;346;305;447;398;265;382;201;405;430;349;437;190;118;429;475;368;150;23;388;35;99;114;90;306;342;39;1;293
Resource 15,486;100;48;65;476;239;163;236;9;110;233;390;166;231;176;55;347;170;128;387;5;425;421;59;478;402;384;36;393
Resource 16,243;238;61;220;420;360;165;432;438;196;470;195;279;289;270;460;272;299;42;247;74;462;191;136;207;43;406;319;235
