resource_name,assignment_ids
Resource 0,243;118;72;14;161;5;44;207;3;172;144;220;16;30;98;174;147;206;259;107;164;245;47
Resource 1,119;79;76;56;221;51;170;12;146;234;242;214;1;244;229;152;239;211;258;163;254;109
Resource 2,191;41;173;91;100;151;202;92;197;65;121;42;171;225;160;114;208;60;232;15;120;227
Resource 3,18;179;70;69;257;213;237;40;17;96;154;139;110;215;80;189;22;28;201;36;249;176
Resource 4,165;236;13;178;226;192;108;75;168;0;73;203;248;74;261;26;54;218;34;140;48;123
Resource 5,204;61;184;24;255;78;141;205;29;50;106;88;149;68;49;157;103;209;142;126;200;143
Resource 6,198;252;217;102;33;186;250;155;52;193;131;99;59;158;230;77;115;67;94;46;228;32
Resource 7,188;222;62;136;19;180;212;112;93;101;196;182;35;20;190;128;210;25;124;82;247;133
Resource 8,264;253;21;95;117;2;4;64;43;167;58;125;241;122;185;233;87;153;262;55;66;113
Resource 9,38;7;71;238;104;97;169;194;132;260;89;256;177;127;240;135;223;37;9;86;116;45
Resource 10,195;11;162;23;216;150;224;81;263;134;187;129;183;219;10;85;57;181;166;27;130;90
Resource 11,231;159;111;145;246;83;199;137;53;39;175;8;156;31;251;105;63;235;6;138;84;148
