resource_name,assignment_ids
Resource 0,302;227;319;159;132;286;318;272;254;235;266;193;259;174;90;60;59;296;295;28;79
Resource 1,313;116;109;67;153;14;12;196;86;335;100;268;57;269;198;213;53;7;47;173;221
Resource 2,112;334;99;30;54;76;346;146;328;208;25;251;271;280;191;95;23;15;260;94;297
Resource 3,253;164;39;289;258;215;143;337;121;329;161;50;279;233;19;48;162;21;124;325;211
Resource 4,336;344;206;220;203;301;20;66;63;16;10;262;247;265;120;230;35;114;33;284;82
Resource 5,181;0;74;186;257;217;24;62;348;110;340;101;320;96;37;89;310;326;273;207;103
Resource 6,92;102;231;98;51;17;341;84;185;117;145;58;202;291;315;105;264;169;43;190;342
Resource 7,31;308;189;73;219;205;131;93;160;309;327;274;339;275;288;276;226;1;323;333;91
Resource 8,170;128;163;151;306;107;61;338;71;343;236;113;106;175;223;184;188;200;83;256;154
Resource 9,45;147;299;97;123;126;140;330;234;18;222;156;111;104;197;244;195;75;13;324
Resource 10,282;281;118;303;6;27;166;304;263;150;255;3;210;127;108;167;176;322;144;130
Resource 11,201;245;278;214;9;2;22;242;294;332;65;152;232;115;180;165;32;283;55;122
Resource 12,183;68;250;243;292;204;209;8;34;125;81;129;72;192;218;177;49;11;56;345
Resource 13,261;40;64;212;317;228;277;157;314;307;240;38;312;87;26;69;293;142;321;316
Resource 14,331;5;171;311;136;52;46;29;267;4;138;216;168;70;248;44;239;148;225;78
Resource 15,347;141;172;179;155;300;229;287;149;85;88;119;41;305;139;158;77;270;241;252
Resource 16,285;137;249;134;224;80;133;187;178;237;298;36;42;246;135;182;238;199;194;290
