resource_name,assignment_ids
Resource 0,443;60;18;168;408;39;344;12;136;83;51;323;149;8;273;103;329;395;428;422;244;94;212;268;426;211;438
Resource 1,221;26;330;63;304;446;317;245;95;183;401;236;265;210;130;6;202;238;222;349;108;289;227;201;277;321;124
Resource 2,205;87;106;380;101;179;29;363;111;92;117;155;355;184;389;66;361;223;88;25;2;345;169;292;114;125;100
Resource 3,368;328;295;104;10;275;157;85;248;448;80;286;123;207;216;67;115;424;399;194;365;432;296;359;232;417;182
Resource 4,402;189;254;47;340;34;374;77;132;279;118;383;332;112;353;442;303;308;102;166;379;120;324;217;86;164;3
Resource 5,137;372;437;38;435;318;56;200;336;97;110;148;81;151;57;126;436;150;178;49;322;69;385;28;65;427;1
Resource 6,252;341;73;231;414;159;362;452;347;33;174;24;45;119;42;440;337;90;72;142;127;416;147;415;313;190;229
Resource 7,121;143;266;250;48;55;9;218;46;161;288;20;84;387;311;351;377;40;339;261;131;246;96;191;23;91;325
Resource 8,293;449;141;82;163;240;258;153;64;307;451;270;175;13;334;59;405;165;213;367;280;249;343;154;301;4;31
Resource 9,107;193;284;181;176;7;52;162;331;5;188;16;314;441;253;19;30;32;360;22;203;145;186;371;134;384;393
Resource 10,144;370;257;50;272;185;310;429;208;41;413;21;376;302;418;225;357;44;278;116;453;297;342;283;89;407;98
Resource 11,269;68;375;388;352;431;420;251;71;17;354;156;247;450;391;54;43;93;369;230;319;233;14;239;237;406;11
Resource 12,291;262;158;350;61;434;160;170;0;394;404;192;373;78;129;70;146;122;348;298;285;196;226;228;412;356;263
Resource 13,243;439;140;27;282;281;195;271;167;267;403;433;455;445;335;15;74;53;390;411;425;366;315;410;333;358;290
Resource 14,197;180;400;206;204;274;447;419;198;215;99;423;409;386;260;128;396;299;316;173;105;75;381;320;152;444;392
Resource 15,79;294;264;312;219;346;135;276;287;309;378;300;327;76;364;177;133;58;62;255;454;36;37;242;172;234
Resource 16,139;306;430;235;256;241;199;187;338;138;397;398;224;326;259;109;456;214;209;382;305;113;171;220;35;421
