resource_name,assignment_ids
Resource 0,183;171;19;235;70;34;151;209;237;127;260;79;259;114;174;286;155;220;159;145
Resource 1,142;0;141;14;228;60;168;10;26;161;264;198;11;132;281;54;57;150;18;129
Resource 2,4;254;230;49;64;80;211;169;73;152;15;138;102;154;153;204;265;16;130;32
Resource 3,33;184;249;131;63;251;173;3;47;95;66;133;166;172;23;97;96;239;202;85
Resource 4,101;279;38;118;75;160;192;143;167;190;137;126;214;59;71;56;194;42;22;250
Resource 5,119;236;121;210;262;163;207;149;218;238;88;243;124;128;92;181;82;39;1
Resource 6,232;81;179;139;225;86;233;68;58;263;147;261;113;284;103;44;175;268;185
Resource 7,99;178;282;164;195;84;93;110;25;83;100;242;278;187;270;274;125;252;200
Resource 8,191;275;108;29;62;48;280;276;273;20;196;146;283;31;5;76;193;266;216
Resource 9,219;104;285;256;109;40;157;24;69;231;217;122;89;90;112;205;136;98;224
Resource 10,267;28;240;255;197;234;116;213;52;51;67;72;215;55;120;248;27;12;50
Resource 11,188;123;257;241;13;271;177;37;208;135;165;53;158;106;94;45;223;162;180
Resource 12,134;226;115;156;206;36;46;289;144;227;212;91;65;41;87;189;182;186;253
Resource 13,6;17;78;229;170;203;287;258;111;77;21;107;277;9;272;244;247;105;201
Resource 14,176;148;2;140;246;245;221;30;43;7;288;74;117;222;35;269;199;61;8
